Comment Number,Comment Content
143,Biden is very articulate and more than right about everything. I hope to God that Trump does not win. Biden 2024 all the way
144,Yup give them gas station swherws mine😂😂😂
145,I don&#39;t even know what biden says when he speaks.  All I hear is ta ta ta ta.  Thats who you people vote for to run our country.   It&#39;s insane
146,"This country is going to fall apart, this country needs Jesus"
147,Definitely with trump tho
148,"&quot;We had an economy in free fall.&quot;   If i remember correctly,  the stock market mooned with Trump as president and gas was extremely cheap.  You, Joe, are a disgrace."
149,Blue for crips red for bloods
150,id id been Biden id have faked a medical emergency and left the debate
151,They forgot to mention that all debate questions were written by the CIA/deep state since this debate was all planned and carried out under the umbrella of Operation Mockingbird.
152,"<a href=""http://www.youtube.com/results?search_query=%23trump24"">#Trump24</a> 🔥💯✊🏽💯🔥"
153,This debate should have been the last straw in your chance to wake up if you&#39;re still a leftist If you haven&#39;t woken up after this debate then you never will and you&#39;re a lost cause
154,doesn&#39;t look like Joe Biden is it really him?
155,"Prolly the world leaders stayed at other hotel before trump hotel was built in Washington DC, needs to be looked into a little further to find these Dems owned percentages of or was investors in the hotels these leaders stayed in before Trump and this is why they are all riled up and making a big deal out of these world leaders staying in the Trump hotel because they lost money. No doubt."
156,Det är pinsamt att USA med över 300 miljoner invånare inte kan få fram bättre kandidater för väldens mest viktiga jobb
157,TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP ❤❤❤❤❤
158,"2 idiots on the mic, better 2 watch ALF!"
159,The questions are gaslite...<br>Yall have to remember politics is business money power bills etc ..LISTEN TO TRUMP that man smooth he know what he talking he is a business man and in business yes you win some and lose some but you LEARN ...most president&#39;s don&#39;t come from a business savy background that&#39;s why we always in debt smh
160,Let&#39;s go Brandon!!! 😂😂😂<br>I come from Poland and I thought we were screwed.<br>Read the cement is the best i can do today 😅
161,Australia offers
162,😡😡😡😡get him Trump !!!!!!! New York City stand up
163,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1294"">21:34</a> Trump won the Debate from my perspective<br>😂😂😂😂😂"
164,Watching two guys on the verge of their deathbed.. this is a comedy. Fall of our government began in last election and will continue with this election
165,Haven’t even watched it yet and I’m waiting to find out what YouTube edited out
166,This debate has me stresssed 😩
167,Biden should retire and do asmr<br>Trump just need to stop trying
168,They are so ooold...
169,&quot;There is no studio audience tonight&quot;<br><br>Biden walks out and starts waving and saying &quot;Hello&quot; to the Non Existent Audience.
170,They raised my house taxes by three times.
171,If I had to choose I would vote trump
172,Joe “The Idea” Biden
173,I can see the passion in Trump and how he speaks. His very soul is furious and for a REASON.
174,Titan is dumping garbage on us in the skies. The snow is not snow. It&#39;s pellets of some kind of plastic. The They create in the storms they create with their mission. They&#39;ve got running. it&#39;s horrible.
175,joey is dust
176,The Democrats hired midnight guys to pull along and start wildfires. You can see the. videos on Youtube people posted it. They saw it democratic people. are paid to start wildfires.
177,"don&#39;t tell me I&#39;m the only one hearing that or my ears are failing me <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4583"">1:16:23</a>"
178,"No me imagino escuchar a trump otros 4 años, primero que vaya a cumplir sus escandalos como ciudadano, este hombre es el peor , racista, no queremos esto!!!!"
179,Only a Real American can Save America.
180,We are all cooked.
181,any other options?
182,Take a shot every time Biden says “number 1”
183,"The tax credit that he&#39;s talking about, they took it from the seller, they took. it took it from the amount the seller got. He didn&#39;t pay nothing. They didn&#39;t give nothing. My daughter sold her house. Two new buyers. And they took $11,000 of her money out of her asking price."
184,If Biden was X-MAN his super power would be: no one could understand him nevermind how long he speaks.
185,Correct me if im wrong..but did they say there was no audience ...then Biden walked out raising his hand as if there there were an audience...or was that for the viewers...🤔🤔🤔
186,Interesting .... 🎉
187,Demented Trump: A Palestinian child’s shoes are more precious than yours
188,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2065"">34:25</a>"
189,No studio audiencr.
190,Sleepy joe said I skibidi with
191,Most of those ppl support trump😂😂😂
192,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1777"">29:37</a> somebody walks in front of bidens camera"
193,I just bought 13 essential items from the grocery store and it cost me $84. How on earth does our government consider that “only a 20%” increase. This is more like a 100% increase!
194,"YEA, BIDEN IS IN A &#39; CUSTARDS LAST STAND SITIUATION, AND YET, HE WONT APOLOGIZE TO ANYONE ABOUT ANYTHING....."
195,did he ever answer the question about deportation or did he evade it
196,FJB / DEMOCRAT.   they destroy our country Biden is a liar he said to the American people under his leadership no troops have lost  what is really sad he does not remember or Honor the 13 brave soldiers who lost their lives in Afghanistan and also left American Citizens behind
197,"WHATS GOING ON IN THE WHITE HOUSE, ALOT OF DEODERIZER, I FEEL SORRY FOR HIS WIFE !!"
198,biden need help call zelenskyy..
199,"BIDEN&#39;S FAMOUS LINE, &quot;&quot; I DON&#39;T CARE IF YOU THINK I&#39;M SATAN REINCARNATED...&quot;&quot;"
200,It’s like talking to my grandmother with dementia. No idea what he is even trying to say. Put Biden in a home and make sure he’s looked after. At this point this is elder abuse and the people forcing him to run should be in prison
201,"OH BIDEN TALKS ABOUT, &quot; CHILD CARE&quot; AS ILL-LEAGALS GET FREE MEDICARE, SOCIAL SECURITY, FOOD DEBIT CARDS, HOUSING, MEDICAL, TRANSPORTATION, MILLIONS, AND ALLOWED TO BUY FIRE ARMS, AND PACKING IN DANGEROUS DRUGS, ETC....."
202,Biden🤡🤡🤡
203,&quot;I Have the beginning of 46 thoughts&quot;<br><br>-biden jim carrey
204,Is anyone really supprised? Biden is suffering either from old age or dementia. Either way he’s got to go. Trump Train
205,In PA all the new workers are imagrants they where approved for work visa.
206,Q: WOULD ANYONE TRUST BIDEN TO DRIVE A SCHOOL BUS ?
207,This is actually a comedy
208,America&#39;s got a problem
209,Nancy didn&#39;t think trump was that dumb to send the crowd
210,The jar building works trumps if you remember Trump was trying to dig this out and started creating the jobs. All the first stuff that was done when Biden got in was from contracts that Trump did.
211,Exactly the same immigration situation as the UK. Something is definitely going on. It&#39;s literally identical.
212,The didn’t even answer the child care question…
213,trump 2024
214,"Fast forward to the august  conference ..Jill ....&#39;&#39;delegates, your choice is non negotiable and final.Joe remains the candidate and we loose in a landslide and you spend the resyt iof yiour days in folsom , or I am the candidate ...we win with  a landslide  . We keep the WH  , you keep your jobs and I become the most succesful president this counttry  has ever had !  And thank your lucky stars ! &#39;&#39;"
215,"If Biden wins again, the election is 100 per cent rigged. Im pretty sure the last one was to be honest."
216,Joe Biden for President
217,Is there no better candidate apart from Trump and Biden? It will be much better to engage young-minded youths in politics. 30 -60 years of age.
218,I felt like Adam Sandler was was going to take the stage and say. &quot; Welcome to another Saturday Night alive!&quot;
219,"The biggest thing to understand from this is that this is not a Biden issue. It is the entire Democrat party. After all, they are clearly the ones that have been driving this. Entire term into the ground. It&#39;s painfully obvious that biden is not in the driver seat. They are also the ones that have been lying to you about this man&#39;s mental. Fitness. And they are still lying to us. Don&#39;t be stupid enough to think that You can vote for a better democrat."
220,Does Biden starma?
221,Obama Bin Biden
222,"I have never seen an old man that&#39;s so good at lying, why is everybody only talking about October the 7th,why can&#39;t people talk about what led to October the 7th"
223,Americans help us vote Trump again
224,On president Biden first election I bet he will win and only a one time president! He should allow another Democrat run with Trump ! Otherwise! Sad😊
225,"Biden walks out on stage, because of how used to giving speeches in n company of his close yes man circle he walks onto the stage hearing a roaring crowd chanting <br><br> Crowd- “4 more years, 4 more years” <br><br>Biden waves at the moderators and the crowd. The lights stop him from seeing the waves of people that aren’t actually present because he forgot there was no audience. <br><br><br> Biden- “thank you thank YOU”<br><br>As if he was capping off the audience volume. <br><br>If you watch his speeches you’ll notice the same Means of capping off the audience for a quick rebuttal. <br><br>Biden actually said even more but they cut off his mic"
226,I didn&#39;t like trump that much but I&#39;d rather vote for him than biden that much
227,"&quot;They&#39;re doing more for veterans than ever before,&quot; Biden says. I&#39;m sorry, but with what staff? The ones you pushed out with vaccine mandates before deciding to not require shots after all? The ones who jumped ship to other hospitals when the VA couldn&#39;t match the pay increases everyone else offered to keep up with the inflation your administration caused? The VA I&#39;m in touch with had to cut back on the total number of beds they could fill because they don&#39;t have enough nurses to tend to a full building. A vet that I knew was unable to get admitted for in-patient hospice because the wait list for a bed was just too long."
228,"Interest rates are up, inflation is up, and pay and jobs are down. Thanks Biden. <br>Trump 2024💯"
229,Both of definitely r definitely evils😂🎉😢😮😅😊666😊😅😮😢🎉😂
230,The latino never get anything on social ..we paid taxes...we come to work
231,"Leslie Knope, we need you!"
232,Trump must win.
233,U gotta admit that u can see political foreign leaders respect trump more than Biden! He’s made America look weak!
234,Like grade schoolers when they cry about the other kid took their crayon. Grow up work together. Yall spend all that energy focused against each other. There is no One person that could save us to be Frank so have one person  AS A leader is just GREED
235,Let’s elect both of them. Maybe they’ll become friends and make peace in United States 🇺🇸 😊
236,"If I have to hear &quot;we&#39;re in a position where&quot;, or &quot;the idea that&quot; one more time..."
237,"Joe FYI This country is already bankrupt. Your reckless spending doesn&#39;t help the USA at all. Look at the National Debt Joe and its crazy interest every minute that goes by. I am wondering if you ever took a college course in Economics. But if you did, you forgot all the basics. Yoru idea that Tax and Spend, illegal immigration, your continual 6 working hours a day, and continual vacations tells the American people you just don&#39;t care about us."
238,We want Imran Khan Vs Nawaz sharif  Debate like this 😅
239,I’m middle class and i never felt devastated until Biden came into presidency
240,he got out of  Afghanistan like a headless chicken  🤣🤣
241,Biden moves like I do in my dreams when I&#39;m trying to punch something or run fast.
242,As a none american .. americans should listen to the whole world..as an asian my country might be against  or with  US ..but as a friend or a foe you guys need a real leader  and here its clearly Donald Trump ..  i feel  dissapointed disgusted .. as if like im playing chess and my opponent (joe) keeps blundering 😢😢
243,look like a sport event with the introduction. Seen like we all in this for entertainment
244,Xochitl Biden
245,He did not answer the question..if he will déport every body...trump...will leave california..like florida...latino people...we do tje hard jobs.
246,&quot;And the idea that...&quot;😂😂😂
247,My vote is going to President Donald J Trump regardless of what happens.
248,Biden is me trying to hit the word count on a assignment at 11:59pm
249,Seeing this debate it just makes me sad that Biden really doesn’t know what he’s doing it’s just sad
250,Anyone know how many times Biden said “period”.
251,"CNN: &quot; Well what can one say, <br><br><br><br> its unfortunate how debatable truth and facts are. &quot;"
252,So hes bringing new oppportuninties to new people  anwyawy trump is more human and ur failing at that 😢 😅 😂 wtv dude who cares
253,Trump will win people bit he will take us to ww3
254,But new people will come with trump
255,"“You called my son a loser AND a sucker. Well he’s not, you’re the loser and sucker😒” <br><br> “That’s not true you made that up and you should apologize to me right now.  ”<br><br>Wow just wow"
256,U should change more nubba
257,U should change more ur making same expressions as hillary
258,Niden ur missing trump part redness
259,Just 4more years
260,"But if biden would win, we would be living better"
261,"Summary of the debate between two candidate presidents of the world&#39;s super power:<br><br>Trump: You are the worst president in the history of the US.<br>Biden: No, you are the worst, I am the best.<br>Trump: No, I am the best, you are the worst.<br>Biden: The IDEA...that I am the worst is outrageous - number 1. Number 2, you are the worst.<br>Trump: You are the worst president in the history....<br><br>And on and on.."
262,Biden lost bcuz hes missing trumps part. Too baaaadd
263,At this point feeding Joe to Trump is just straight up disrespect to Trump.. ..come on mann ... Give Trump an atleast half Joe&#39;s age person
264,Biden talking about protecting seniors while he lets his handlers drug him and prop him up on the world stage to make a fool of himself is not only rich but sadly ironic.
265,All u guys go vote for trump
266,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2562"">42:42</a> wow dude as if you reallly care"
267,The capitol riot for example was such a dodge by trump
268,Thank god i live in Europa
269,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=5045"">1:24:05</a> he’s lying he’s not a 6 handicap"
270,"Why do we want a president that can’t stop with the cursing. I can’t believe that Joe Biden goes on National TV and forgets what he’s saying. Why would we want a president that is so far away from God! Please don’t re-elect this man, that is willing to let the killing of innocent children go on."
271,...
272,"Being a Swede, I could answer the very first question about the economy easily. None of them answered the question. They started pissing on each other from the 1st second. Why can&#39;t they just focus on the questions? Well, my question is rhetoric. We know the answer. It saddens me to see the US falling like this."
273,God Bless America! Go President Biden  Take your time and Keep your cool ! # America Wins!❤❤❤
274,Bidens response at the first immigration sentence really knocked me out 😅 what was that even 😂
275,Trump cooked biden
276,Messi 🐐
277,Nice trailer for This Is America 2 by Sasha Baron Cohen.
278,Ya&#39;ll leave Joe alone! He&#39;s doing a great job getting Donald Trump re-elected!
279,"Rules of debate were made to disadvantage Trump,but was advantage to him😂😂😂"
280,"My favorite part was when CNN bragged about how they were gonna fact check the debate, and then proceeded to not once fact check the debate."
281,Is this America or some Irish funny prime time comedy show Mrs brown 😂😂😂😂
282,Run Biden RUN
283,Trump did a great job. Kudos
284,biden is not fit for us president. love for trump from India
285,Biden ran for president so Trump would not get the job. Not because he is capable. Good to know..
286,"We don&#39;t need to &quot;significantly increase &quot; -biden , ANYTHING <br> we are being bent over in every way shape and form it&#39;s horrible .<br> Our families are struggling!! <br> <a href=""http://www.youtube.com/results?search_query=%23trump2025"">#Trump2025</a>!!!!"
287,"Trump must be intelligent to be able to focus on what Biden is saying and decipher it without loosing focus.  <br><br>Biden actually is a lot more intelligible than I was expecting, but he still fumbles his words so often that it is difficult to track what he is saying."
288,RIDICULOUS!!! They are barely answering any of the questions!!! LORD HAVE MERCY ON AMERICA!!! WE BETTER PRAY!!!😕💯🙏🏽🙏🏽🙏🏽
289,Let&#39;s go TRUMP!
290,Inflation is killing black and hispanic families! And he caused the inflation! Go Trump!❤
291,Gumpy old men &quot; 2.0<br>Food stamps &amp; porn stars
292,trump went to Israel - to pray at the wailing wall ( the western wall ) - in May of 2017 -- it&#39;s on the dumb phone - trump makes it clear - what side his bread is buttered on;-    trump also makes it clear to the American People -- that he does not represent the best interests of the American People -- Dale Cameron -----
293,Biden amen so help as god in your way
294,Why does Trump look like the joker when he smiles?
295,Just look at biden 😂😂 he read from a tv screen 😂😂😂😂 just look at his eyes
296,I feel like Biden argues like back in the old days. Where you could say anything because people didn’t have easy enough access to internet
297,Save America for Christ sakes Trump can save America save children from being attacked by illegals God
298,Chicken &amp; dumplings is Asian ravioli 🫏
299,"All you families paying more for your childcare than your rent is... Don&#39;t worry that general was fired. And those of you struggling with crippling addiction rest easy knowing Biden is afraid of China. Women afraid of losing your rights? &quot;Covid, I skibidi.. Generalized persons put in place&quot; - Joe Biden 🤦 God help us all Though it is refreshing to see that we&#39;re not at each other&#39;s throats in the comments anymore...I will say that."
300,Where is Robert F Kennedy <br>It’s a clear election fraud!
301,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=706"">11:46</a> Biden stumblessssss when answeringgg😮"
302,I been trying to get an Appt in the V.A since covid..
303,Looking for stand up comedy online and ended up here. Best one so far 😂
304,What Bidens family is doing to him it’s sad. This man is confused sad and alone. He needs to be home. He’ll have a stroke. Donald’s actually being nice to him.
305,"After the bombing Belgrad, no one will doubt who Biden really is"
306,"Biden might have been attacked with a DEW, directed energy weapon and not even known + they are scaleable and sometimes feel to me like getting 50 IQ points subtracted - but 30 would do here."
307,P.trump Ok❤
308,aren&#39;t there any younger ppl than these two in the states? why have to chose from 2 who are in their 90&#39;s or close to?
309,i start to belive trump making south park cartman voice at somepoint lol
310,Joe Biden number one number two number three
311,川普
312,"Joe Biden - &quot;Hi folks,how are you ?&quot;- Famous words before disaster lol"
313,"Monty Brewster/Richard Pryor had the right idea in running &quot;None Of The Above&quot; in Brewster&#39;s Millions in 1985 when running for NYC Mayor. Because that&#39;s what I should vote for in November <a href=""http://www.youtube.com/results?search_query=%23noneoftheabove"">#noneoftheabove</a> <a href=""http://www.youtube.com/results?search_query=%23uncommitted"">#uncommitted</a>. That or write in Angela Rayner or Rachel Reeves from The Labour Party🇬🇧 for POTUS"
314,I don&#39;t think people give Biden enough credit for his excellent work at staying awake for over an hour 😂
315,I bet even the coin was weighted. All they do is cheat
316,"If I was choosing a manager for my small business and these were my best two options, I would shut down."
317,Trump never lost....he was impeached and his VP jumped in
318,Bixen does not carry his own bag.........what a joke
319,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1335"">22:15</a>"
320,How is Joe not ashamed of himself?! Like how does he sleep at night!? What a disgrace. HE CAN&#39;T WIN
321,Biden is like in other world...
322,There is a ton of video evidence of corruption at the polls during the last election.
323,Biden is 🤡
324,WSJ IS sold 😊
325,Wait till they start using their domain expansions.😂<br>Biden: “Domain Expansion. 81 million votes!”<br>Trump: “Domain Expansion. CHINA!”
326,YouTube is Nerfing loading speed of this debate on purpose!!
