Comment Number,Comment Content
73,Harris isn&#39;t Obama  especially with their disastrous first term.
74,ROFL...HAHHAHAHAHHAHAHHAH ROFL ROFL
75,"<a href=""https://www.youtube.com/watch?v=akvhkLHnOAM&amp;t=186"">3:06</a> my man said young lol she&#39;s 60"
76,She was always last in the presidential debates.  Her polls numbers have always been much lower than Biden&#39;s.  She had one job to secure the boarder and has never been there.
77,NO
78,Let’s watch the racists and misogynists come out in full force. I see you guys testing the waters with coded language. Just say exactly what you feel at your core.
79,I LOVE BIDEN HATE HARRIS - A DO NOTHING VP WHO A FEW WEEKS BACK THEY SAID SHE WAS A DRAG ON JOE -  A FEW SPEECH&#39;S ON ABORTION AND SHE IS BRILLIANT - NOT IN MY MIND. SHE WAS A TERRIBLE AG - CARED MORE ABOUT WINING THAN JUSTICE.  ONLY HAD 4 YEARS IN SENATE AND A 4 YEAR AS DO NOTHING VP.  THE DEMOCRATIC LEADERSHIP STINKS THEY TOOK MY VOTE AWAY JUST LIKE TRUMP TRIED TO DO ON JAM 6TH  AND THEIR CHAOS WAS WORSE THAN TRUMPS.  THE REPUBLICANS HANDED THEM A WINING TICKET  PROJECT 2025 - EVEN I COULD WIN.  PROJECT 2025 SEARCHES FROM JUNE 30 WENT OVER TAYLOR SWIFT SEARCHES WHEN MSNBC SHOWED IT THE EARLY PART OF JULY. -  WHY THE PUSH?   I GUESS THESE POLITICIANS CAN&#39;T SELL SO HOW DID THEY GET ELECTED.
80,Lol😂 Harris and Biden are like Dumb and Dumber.
81,She has absolutely no chance
82,"Quote &quot;how do you win the presidency if don&#39;t win the majority of white voters&quot;<br>Comment:<br>When a person has to specifically cater to certain voters because of her race, skin color, or gender, they cannot make objective and fair judgments about what policy is most beneficial for the country.<br><br>Trump has fewer external influences from other groups or people that would prevent him from doing what is best for the country."
83,Joe conveniently steps down just after Trump&#39;s assassination attempt..... Dry snitching if you ask me ... Now all the prefabricated propaganda starts rolling out talking about how Kamala is going to win..... Ooooookaaaaaayyyyyyyyy ... 🍿 Its a big friggin show and we are all fed the illusion of democracy
84,Jamaicans🇯🇲 would love to see Americans🇺🇸 invest more in Jamaica 🇯🇲 like bringing in a lot of  new companies so more people can get jobs in every field
85,"@Harris, what is a woman?"
86,Trump<br>2024
87,"&quot;Kamala, was that Willie Brown?&quot; &quot;Actually, it was closer to beige.&quot;"
88,Strong? Lol...😂😂😂😂😂
89,"I will NEVER forget how these networks, media outlets, pundits, donors and some Democratic leaders\Democrats browbeat, bullied, harassed and terrorized President Biden into not seeking re-election in 2024 because of his age.<br><br>They disregarded his OUTSTANDING record and stellar performance as POTUS while being silent re: his lowest of his low opponent, Donald Trump-a pathological liar, bully, convicted felon, textbook insurrectionist, civil sexual assaulter &amp; horrific human being.<br><br>My heart goes out to and is with President Biden. I stand with and will support Kamala Harris as the Presidential nominee, however, Trump and his cronies had better pray Michelle Obama doesn&#39;t come off of the bench. <br><br>VOTE BLUE!"
90,"She’s not strong at all, I feel like even democrats don’t like her like they did Joe"
91,Kamala will step into Joe&#39;s shoes she Will Win we want her and no I&#39;m not black shell  get the vote.
92,They literally so helpless the just playing the female card what a joke.
93,Let me put it to this way. Period whoever it is we’ll get my vote. The objective here is to keep Trump far far away and watch him fade off into the sunset until he does some act that gets him thrown into prison for good.
94,Kamala will stop the $500.00 hammers and cut this Military budget!
95,She only got 844 votes. People can’t stand her
96,I think that she would make a good candidate. I wish her all the best going forward!
97,Comparing Kamala Harris to Barrack Obama is an insult to Obama
98,"Let&#39;s be real, Joe Biden was a low bar to beat."
99,"However, Kamala is NOT Obama. Never will be.  The world has watched her bungle for 3 years. She got ZERO support during her own presidential run. She is known for sentences that make no sense. <br>Not a strong candidate…."
100,Ms. Giggles.
101,If Democrats want to win they need PA GOV. JOSH SHAPIRO AS PRESIDENT AND MARYLAND GOV. WESS MOORE AS VP PICK.
102,"How can she be a better candidate? She&#39;s younger than Biden, but using her repeated soundbites won&#39;t help her. She had people of color locked up in prison for minor crimes in California, stating they could be used as free labor. She lied for how many years, saying Biden was &quot;healthy&quot; and vibrantly aware. She panders to whomever she believes will give her power. She would never be in the Wall Street Journal if it had to do with business. She is not African-American. Dem delegates need to seriously reconsider putting someone else on the ticket now. RFK Jr getting more love than Harris"
103,meanwhile Kakala has never been to Europe. Willie did take her to Disney World that one time though
104,She is not in African American.Why don&#39;t you people look into that !!
105,She destroyed San Francisco and played jump rope with the border crisis. She also put millions in jail for marijuana and laughed about it
106,"I&#39;m Mexican living in Mexico and from the bottom of my heart I wish Americans vote Trump, he is the best option for our American amigos."
107,Kamala went to school in Canada...busing in California was a lie. She is not charismatic like Obama either. It&#39;s going to be worse than 2016.
108,Harris vs Trump⁉️🤣😂🤣
109,Kamala Harris should be highly desired by any Can Can dance companies in Paris.
110,If she is successfully able to  make Trump look like an old out of touch fossil with the mainstream voter and young voters then she will win. Her policy on abortion may also help her with women.
111,"harris isn&#39;t black !<br>abortion is still legal , it&#39;s the states that decide"
112,We still voting trump lol
113,Harris 2024!💙🇺🇸
114,13 percent of the population want to be 100%
115,"Ah-hahahahahahahahahahahahahahahaha. stronger? No. It&#39;s not Willy Brown who decides whether she wins or loses, so, she&#39;s going to LOSE."
116,"Anybody, even a dog would be &quot;A Stronger Candidate Against Trump&quot;"
117,And Kamala Harris doesn&#39;t the know-how to be even vice-president!!!
118,She needs to meet with TikTok/social media influencers to get her name &amp; policies out there to the youth!!!
119,One clown dropped out another running.  That&#39;s Hilarious 😂
120,"USA is not a land of the free anymore. A country divided by race, values, and religion. Future is either a civil war, or gradual loss of its civilisation through demographic change."
121,&quot; I went to bed and slept the sleep of the saved” <br>- winston churchill
122,Thank you president Biden for your decades of service and sacrifice.     You will go down in history as one of the greatest president of the modern era. AMERICA 🇺🇸 will miss your leadership. ❤️
123,Another 4 years of the orange conman &amp; his crooked family. No matter what else he has done i will never forgive his bonespurs bs. sorta like cassius clay and lou alcinder
124,The best man to beat Trump just step down. <br>Write in Biden
125,Where is Willie Brown?
126,"My Liberal Neighbors told us if Biden drops out, they will support Trump.  They said Cackling Harris is a joke."
127,This is hilarious
128,Definitely voting for Harris and telling all my family members to do so as well. God bless our future President Harris~
129,It&#39;s like the media is on someone payroll that knows exactly of what outcomes are going to take place in the polotical circles and are just &quot;waiting&quot; for the event to happen. Obvious much.
130,She is very weak candidate big mistakes
131,You are wrong <br>I’m not going to vote at all
132,"Don’t tell that she’s not African American,cylburn will be furious to find out Biden tricked him"
133,JC this will be funny... All the best KH
134,"🎉ENERGIZES the electorate, brings out more PROPLE to VOTE helping all the other races for a Democratic win and saving the 🇺🇸 from the fascist dictatorship of trump 👹"
135,Pick Michelle Obama for vice president.
136,The democrats and I hate to say this they set up Donald Trump to be shot. Ms. Harris  needs to take her presidency and sholve it. Trump  is winner
137,How could Trump&#39;s policies on abortion even matter now that it is all decided at the state level.  Learn some public civics.
138,Just subscribed because of how fast this was uploaded 😂
139,Kackling Kamala will be destroyed debating against Trump.<br>TRUMP 2024😊
140,Trump doesnt have policies on abortion and has stated he would not sign a federal abortion ban.
141,Kamala president the laughing president
142,She’s the worst.  🤮🤮🤮🤮🤮🤮
143,Voting for her is like voting for Biden. 🔥
144,He conveniently steps down after trump assassination attempt..... Dry snitching?
145,"yesssssss go kamala ... kamala, jasmine, and ledricka are best choices for president.. all strong smart brave leaders for our future"
146,She has nothing to prove... We are voting against the implementation of Project 2025..
147,She is totally unfit and unprepared to be commander in chief.
148,"Trump 2024, with the help of Kennedy 2024, will beat Harris!"
149,Still voting for trump/rfk 😂
150,This video was released at the same time when Joe Biden decided to give up. It was pre-recorded.
151,Kamala Harrison for president.  Liz Cheney for vice president !
152,The fact they used a question mark means it&#39;s bad
153,"Endorsing Kamala Harris as President, is like asking a first-grader to be a high school principal...not qualified."
154,No one likes Kamala. She can&#39;t even speak intelligently.
155,Kamala and Michelle Obama vice
156,Go Trump!
157,She will do fine..
158,We don’t want Harris come on…. Why do you guys not get it. You made the same mistake with Clinton. And I’m a black woman.
159,"Biden needed to stand down, when re-election was starting to happen."
160,"i wish that she wins but i don&#39;t think (as much as i disagree) that America is ready for a woman POTUS. it does not matter to me that she is a black/asian or from Mars, this country took until 1920 before they even gave women the right to vote"
161,"She&#39;s a great prosecutor?!  Sure, everyone knows how much Americans love lawyers.  Maybe slightly more popular than Michelle Obama with kids in school cafeterias."
162,"Joe Biden, didn&#39;t drop out he was outed by his party. Kamala, you don&#39;t have the character to be the President of the USA either. You have been a slacker as the VP."
163,So now Trump is the oldest candidate for president. He is too old.
164,Kamala is a kind person with a big heart. She cares about people. She was a<br>district attorney and has never been convicted of any felonies. I am so happy she <br>is in the race.
165,"Congratulations America and democracy, I can hear Republicans wiping from across the pond 😂"
166,Just get Michelle already
167,"Out of the 29 presidential candidates from the 2020 primaries, Harris was one of the least popular.... kind of scary if the WW3 pops off and we have someone like Kamala at the helm."
168,"Harris doesn&#39;t have a chance. They know that, only 1 candidate has any chance against TRUMP........"
169,she got my vote in november!
170,"No importa quién sea elegido, Estados Unidos seguirá cayendo."
171,How is the housing crisis NOT on the list of most important issues facing the country?
172,Love love love her❤
173,Can you imagine her cackling<br>when she is shown the code and<br>the button.........
174,They had these interviews in the can for a while
175,"Harris has a longer political career than Trump, no?"
176,She ?? She won&#39;t win.  She&#39;s even poor than Biden 😢
177,Anyone would be better than Trump
178,"Had a better shot with Biden. More annoying than Hillary Clinton, and Hillary had a far better chance at winning than harris."
179,"Dems going to hype her up so much. &amp; It&#39;s going to be a crushing defeat just like what happened to Hillary. They going to be all over Socal media after she loses, just like they were when Hillary lost."
180,They just want the identity politics votes from women and blacks. Which is IRONIC since they’re the party that “doesn’t see race”
181,TRUMP 2024!!!
182,Come on trump. From the uk 🇬🇧  come on donald. For the people for the world
183,Vote RED!! I’m voting for TRUMP 2024 🇺🇸🇺🇸🇺🇸 From a California Republican.
184,Our border czar😅😅😅
185,All trump has to do is just show her cackling on all issues in tv ads
186,"Kamala Harris has absolutely NO CHANCE to win, anyone else has a better chance to beat Trump"
187,"Everyone loved Joe but I’m sensing some big, new motivation from Democrats after the announcement. Some fresh enthusiasm. Have y’all seen the new Times cover? It’s excellent in putting Kamala is a good spotlight."
188,"Much easier victory for Trump! This is still a man&#39;s world and I doubt a woman president is about to happen. Women are divided on many of the issues. Young people do not care to vote at all because they know the game. If she wins it will be just like Obama just because she is black! Her positives are she is at least younger than both, and a strong debater.  Obama&#39;s path was easy because it was something truly different and blacks knew there was only one shot at making it happen so the fact he was cool and smooth and looked like them was just icing so to speak so they voted solely on emotion. Not the same deal today. I say Trump has this election victory coming and all will just have to adjust to it. I do not care either way at this point!"
189,Weaker
190,i&#39;m all up for Kamala Harris running for office.  She&#39;s definitely got my vote.  Plus I so wanna see the first female POTUS.
191,"Kamala who? It&#39;s about time she did something during this 4 year term... Cackling Kamala lacks the intellect to take on Donald Trump. Good luck Kamala, your going to need it..."
192,Raegan would never. Alzheimers and all
193,Trump 2025🎉
194,Give me a break.....Kamala can&#39;t beat TRUMP!!!! That&#39;s hilarious 🤣🤣🤣🤣🤣🤣
195,A stronger candidate than Biden?<br>😂😂😂<br>They&#39;re both a joke
196,She can’t and won’t win.
197,"Lets see how all feel about what she did at border which is nothing at all. This administration did poorly on border with 10M illegals coming in, &amp; Biden did an EO not to long ago giving Million amnesty wonder how many Dems will let a bunch of them come live with them for a while, take care of their every need out of their pocket"
198,Nobody can beat Trump😊
199,It was nightmare to have Biden as a president. We don&#39;t have another nightmare to have Harris as a president.
200,She is not African American. WJS stop running with that. She has never said she was African American. She speaks about her Indian side. This is what people like to do with words. switch them around to trick the masses. This woman is not African American. Words matter and their are people out there like myself who care about how the context of words are use and the manner they are used to attempt to trick and deceive people. Wake up people and listen to what people are saying as well as their actions.
201,"Kamala Harris definitely has the advantage in this.  She can appeal to women and LGTBQ+.  Her ethnic background will also motivate black, white, indian, pacific islanders, and rally voters with with a carribean background.  Losing Joe will be a big blow however as he was well connected with Irish, Bloods, Crips, Italian, and Polish Americans due to his upbringing in those predominant neighborhoods.  He has a close relationship with southern Baptists due to the numerous services he attended.  This is very concerning on who the next VP could be."
202,Here they go again!
203,🇺🇲 TRUMP will MAGA 🇺🇲 NO WAY will AMERICA want another 4 years of what we&#39;ve already been through with this party. Democrats are for themselves only. Republicans are united and want the AMERICAN DREAM. TRUMP WILL MAKE SURE ALL AMERICANS HAVE THAT DREAM AGAIN.  MAGA= M ake  A merica  G reat  A gain. Trump is for the PEOPLE and our great country FIRST
204,Dream on!!
205,I don&#39;t trust anything the WSJ prints anymore since Rupert.
206,"Trumps got this, but only if we all still get out there and vote to make it too big to rig! So when you go, take your fam, friends, coworkers and go vote for Trump/Vance 2024 like your life depends on it.....cause it does!"
207,For those who value time<br>Short answer: no
208,Kamala was polling at 2% in 2020. What?
209,Trump is now a shoe-in to win this November.
210,jkajajajaja kamala? jajaja
211,Kamala knows fuckall. Trump is back in the house again
212,"É assim que faz política. O show de democracia. Obrigada Deus Pai, todo poderoso. Amém."
213,Kamala harris talking about “character”  is knee slapping funny.
214,It&#39;s ridiculous to suggest Kamala is Obama. Not even close. The charisma doesn&#39;t compare.
215,"Kamala Harris graduated from a low-ranked public law school in 1989. She then failed the Bar exam (which is needed to be a licensed attorney). She finally was accepted by the California Bar a year later and IMMEDIATELY appointed as the Deputy District Attorney for Alameda County (in Oakland, California). She had no law experience. So, why did she get appointed? It turns out that she was having an affair with the Mayor of Oakland, Willie Brown. Mr. Brown went on to a statewide office in California. Kamala Harris went with him and was appointed to two different statewide offices (paid by taxpayers). She was NEVER qualified for any office or role."
216,"President Trump is brave, courageous, and stands up for Americans FIRST."
217,Giggles now? Hahaha!!! Stronger candidate? What has she done?
218,"At least Harris is younger. I was so sick and tired of having old geezers running the country. No disrespect, but in wartime I want someone who can thick quick!"
219,You guys are fast!
220,Trump is already the president <br>There is no race its been over for awhile
221,Disaster on the rise......
222,Kamala!!!
223,Kamala for POTUS 🤍🤍🇺🇸🇺🇸🇺🇸🥹 ( African Indian American Women ) Reminder ☺️
224,What CAN BE unburdened by what has been...
225,"With Kamala Harris, would Democrats bet against the history of sexism and racism in the US?"
226,"RFK jr has better more exciting policies, she’s part of what’s been happening already. She is just as beholden to the military industrial complex. <br>Give Kennedy’s policy a listening to."
227,Biden was better than Harris
228,I don’t get it he’s too Alzheimer’s to run for reelection but not too Alzheimer’s to have the nuclear codes ?
229,"It&#39;s interesting how all Dems will claim that Rep don&#39;t want women to have the right to good health care as that is simple a big false statement on their part &amp; if Dems would bother really listening to the other side they would know this, but of course they will never really listen to other side, because they have to make people believe that what they say is actually real &amp; not Rep by making things up to suit the narrative they want people to go with even if it&#39;s false"
230,What? Kamala as President? 😂🤣 One joke after another?
231,Stop the cap!!!!!
232,An True American vs An Indian American. Let&#39;s go.
233,We need a  new AG too !!!
234,😂😂😂😂😂😂😂
235,Harris could find Africa on a map.
236,Good timing lol
237,"What can be , unburden by what has been ."
238,"Cackling Kamala, a stronger candidate? I can&#39;t stop laughing."
239,I doubt it would happen but can you give a rundown if she picks Hilary Clinton as her vice
240,Kackeling Kamalalalama vs. Trump? Seriously?
241,We need a Jimmy Carter candidate so bad
242,Also I feel Biden still needs to campaign for Harris.
243,"The democRATS will blame everything on Weekend at Bernie&#39;s!  LOL, how she communicates, she is as good as Weekend at Bernie&#39;s!"
244,She jailed tons of people for simple marijuana charges. Sure you can say it’s the law and it shouldn’t have been broken ect but being jailed over a few grams of weed and having your life thrown out of wack?? <br><br>I’ll take trump.
245,Women don&#39;t like her.
246,Trump has proved... he can beat woman
247,They want Obama back so bad lol
248,"Now, the author of the invasion of over 10 million illegals  at the border is in display now.🚫🚩🚫🚩🚫"
249,😂strong🤣🤣she can’t even speak
250,"Perfect time tp heal the country, get a conservative republican such as Romney or Paul Ryan as a VP. Time for the country to come back together."
251,No
252,Never
253,She&#39;s even worse than Joe!!!
254,She won. Let&#39;s see what the future holds.
255,"Harris it&#39;s you that doesn&#39;t have the character to be president, Trump has a lot more than you ever would"
256,Yes!! The world is safe now with kamala harris if she will win this coming presidential election hopefully… finally biden came into his senses and gave up his presidential run.
257,"the Border czar is running for president? She had ONE job. Just ONE, and failed."
258,Trump and co underestimate her. That will become her advantage. Wait and see if she &quot;talks in rhyme&quot;.
259,So the Border czar may now be running for President? Scary thought. We know how well she did with that. Over 10 million here illegally.
260,Nope we want Newsom 😊
261,My response to the title: 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
262,"“Not voting for someone who makes race their priority”<br><br><b>them also voting for a man who continues to make racist comments and say many things racial, gender, and sexuality related</b>"
263,It&#39;s not good for a woman to be in charge if she goes through menopause😊
264,"A carrot, or any other vegetable, would be a stronger opponent to Donald Trump, than Joe Biden was."
265,As a non-American viewing from the outside in - This woman seems far more suitable for the job than either of those other two pensioners..<br>I wish you luck America. I&#39;m sure you&#39;ll fail to surprise and Elect the megalomaniac though.
266,Kamala seems like she takes almost nothing seriously? All she does is laugh things off -_-
267,Something tells me that all the men’s speaking in this interview had a husband at home
268,Did she propose the classified as misdemeanors certain drug possession offenses and nonviolent property crimes that do not exceed $950 in value which caused California theft in malls😅
269,Indians are doing so well in America. It is time to have an Indian president. Even a female one: first in American history!
270,"Kamala will win, Kamala will make history. HARRIS2024"
271,Older voters tend to vote more.
272,At this point they should just bring in president CAMACHO!
273,she has no power for this
274,I think Biden had a better chance of winning than Kamala cause of older voters.
275,"She has to reduce unnecessary laughing which many people don,r like."
276,"Literally, no one other than trump supporters base their vote on his scratched ear caused by another Republican."
277,"All of a sudden, she might be laughing during the debate ... sigh!"
278,How will Kamala talk about her care for Criminals in California?
279,"Kamala is a better candidate for big money donors than Biden, youth in California hated her in 2020 and Biden&#39;s inflation and genocide in Gaza coupled with her covering for his mental depreciation makes her cringe worthy personality creepy. We have just witnessed Trump&#39;s bravery under fire. Like him or not he comes across authentic."
280,England and France just rejected conservatism in their elections.
281,Can you imagine abortion being the top issue for these young women democrats?  It&#39;s just ridiculous
282,As soon as this documentary said that Kamala won against Pence in 2020 is proof that Trump will win
283,Kamala is pathetic. She&#39;ll lose big.
284,She had zero delegates in 2020.
285,Remember this people Camilla and Biden stepped in the office she replaced the American flag with the gang flag Memorial Day she insulted every man and woman who laid down their lives for this country and anyone who support you as a traitor to this country!
286,No take a look CA
287,Kamala Harris should not be the first woman president of the USA. She has brains or personality for that honour.
288,"So she&#39;s got <b>gender</b> for women votes, <b>color</b> for black votes, and promising free stuff for younger voters.<br>That about wraps up her qualifications.<br>Oh yeah...and she&#39;ll be a willing muppet, to the same people who were pulling Bidens strings."
289,Ahaha.. Harris? 😅
290,"I am Swiss. I have been following the presidential race for a while now. Let me tell you something American friends, a majority of people around the world support Trump. The reason? Is because we have access to unbiased information about the candidates. Biden was already losing the race but Harris...If you have any hope that she will win, I have some very bad news for you."
291,Word salad girl is not winnable. Trump 2024.
292,lol @ word salad nonsense jibberish speaker Harris even trying to run for President. Any reasonable person who has at least two working brain cells knows Harris would be a blatant disaster if elected president.
293,Trump&#39;s just leaving it up to the Individual states about abortion. As a Female not voting  for her
294,"Remember everyone working off tips. Trump will remove tax on tips. That will help so many people.<br> Im sick of 50% higher gas prices. 50% higher grocery prices, 50% high rent prices, 50% higher home prices."
295,Trump will win
296,Sleepy Joe voted Trump by mistake😂
297,the child inside  the mother is not your body
298,I don&#39;t know. I know Biden has been behind the best policies because of the 4 years of publicity. I just don&#39;t think I would vote Kamala. Feel like they just gave the presidency to Trump on a silver platter
299,Hillary endorse Harris Hillary is worse than biden 😂😂😂 Ru kidding me duhhhhh.😂😂😂
300,Please tell me that she will not be the nominee. Sadly she has no chance of winning. Stop the gaslighting!
301,She&#39;s a giggling goof
302,"Almost anyone is better than Trump and in almost no other country in the world, someone with the background of Trump would have close to a chance. Really sad to see what the US has become ever since Trump"
303,Trump is still winning
304,"I feel so betrayed by Biden, Harris and the entire ELECTION CAMPAIGN of these Democrats. 🤬 Harris doesn&#39;t get my vote."
305,Did he step out or was he thrown out?
306,Bwahaha Trump kriptonite.
307,She doesn’t have to be spectacular to get everyone’s attention. The bar is very low.
308,Democrat party overthrowing democracy is hilarious. They voted for Biden in the primary and tossed him aside.
309,Who could possibly listen to Kamala repeat in every speech &quot;What can be unburdened by what has been&quot; hundreds of times a year over the next four years?
310,Big mistake joe was the only one suitable to win..kamlaa is too crooked to win her criminal syndicate list is too gross ..trump just won
311,She’ll lose badly to Trump. She cannot win any swing state.
312,Ok. Unburdened us from what once was
313,Young voters are all for trump LOL
314,Shes the down fall of America 😢
315,Laughing kamala... seriously... thats it. This dude is really a washed up comedian.
316,"The last time a Democratic president left office, it resulted in the party losing the election. Well done, DNC."
317,"Welp, might as well put Trump in the office now and skip the vote. No way in heck would I vote for Harris. Not a chance. I am voting third party I suppose."
318,"Katie Porter, Bernie Sanders, or Tim Ryan would be better candidates. Maybe Vice-President."
319,I don&#39;t think so she will win this.
320,lol this is desperate. Comparing her to Obama? She’s no Obama
321,"Kamala has never giving birth - why is she the voice of abortion?? Has she used abortion as contraception?? In that case, she is the worst candidate to speak about abortion. She is the poster for what is the worst of abortion - a childless woman."
322,We shouldn&#39;t vote for the gender or for the race. We should vote for the person&#39;s values( it is difficult to find a person like that in politics as everyone lies. We need to find the candidate who thinks about USA citizens over the whole wide world. A person who can make a country for our generations to live peacefully. A person who does not create war so that our troops don&#39;t have to sacrifice their precious lives unnecessarily.
323,Ha ha ha ha ha Really?
324,I do not see this contest as policy vs policy. They are between parties. This is about Trump and his character which are not presidential vs presidential character. Any candidate from Democrats should be ok. If USA chose Trump over Biden then that is what they deserve. Kamala or any other person from democrats will not have a chance. 2020 and 2024 with Trump on one side does not make a difference. If voters cannot see that democracy is in question in the USA.
325,With a curve line everyone will beat Trump.
326,Has anyone told biden bout this yet??? Btw. Where is he? At beach again?
327,Did they seriously say she was a strong debater in 2020? She got smoked and didn’t even make it to Iowa
328,harris is an airhead
329,"Kamala Harris was Montel Williams&#39; call girl. Willie Brown had a lot of fun with her, too. Look at how many Black men went to prison, due to Kamalala&#39;s courtroom antics."
