Comment Number,Comment Content,Processed comments
25,@Ilonmusk<br>Please do you have rapport from the questions ?<br>Both say the other lie.<br>Then they say then that look for a other President.<br>To much everything is you lie.<br>Then they make theirself out of the game.<br>We need just that when they come that the 2 that makes the questions have the truth on paper.<br>Otherwise is this type of debate useless clown circus show.<br>Be serieus presidents.,ilonmusk br please rapport question br say lie br say look president br much everything lie br make theirself game br need come make question truth paper br otherwise type debate useless clown circus show br serieus president
26,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1582"">26:22</a> 😂😂😂😂.",href http www youtube com watch v qqggydce amp
27,Truth the whole world is blowing.<br>Biden please stop lying.,truth whole world blowing br biden please stop lying
28,Joebiden 4th president congratulations 🎉m. Gid,joebiden th president congratulation gid
29,Why they speaks and both do not backed up with real rapport??<br>Is sick bla bla bla.<br>This is fish talk.<br>Rapport please.<br>Who to believe?<br>No real rapport at all.<br>Why debate things that they sll do the whole campain??<br>And no true come from this at all.,speaks not backed real rapport br sick bla bla bla br fish talk br rapport please br believe br real rapport br debate thing sll whole campain br true come
30,yes 👍👍,yes
31,The Democratic party will exploit poor blacks for votes.,democratic party exploit poor black vote
32,Yes. Abortion is wrong. Conservative party wins,yes abortion wrong conservative party win
33,As a war veteran I say we need Donald Trump back as the president,war veteran say need donald trump back president
34,This was a testament to what has become of this country. It’s pathetic,testament become country pathetic
35,Biden describes recent history that Americans have just lived through AND LIES BOLDLY to our faces.,biden describes recent history american lived lie boldly face
36,I wonder what they did during the break? Phone a friend for a last lifeline?,wonder break phone friend last lifeline
37,The idea the idea the idea the idea the idea but ..I have no idea,idea idea idea idea idea idea
38,First and last. That should be a title.,first last title
39,JOE AND HUNTER BIDEN ARE SUPER PREDATORS!!!!,joe hunter biden super predator
40,Joe Biden is a criminal and this debate is a sham.  TRUMP 2024,joe biden criminal debate sham trump
41,"Ahh Election Year, my favorite show! Where two angry old people argue like schoolkids. Makes me laugh everytime! XD",ahh election year favorite show two angry old people argue like schoolkids make laugh everytime xd
42,Trump 2024.,trump
43,Not them roasting eachothers the entire time 💀,not roasting eachothers entire time
44,"what is Biden zoning out to? keeps looking down and looks like the light are on but no one is home in his head...... now he is MiA?<br>president TRUMP Took a bullet for America and got up like nothing happened!<br> Trump is my vote! and everyone should wake up!<br>are nation is crashing,.. <br>get off your A$$ and do something!<br>vote TRUMP! what more do u need to see or do?<br>your going to wake up on the streets before you know it...<br>TRUMP is doing more then any president ever....<br>the Media is a lie....<br>get off your phone and  stop watching TV getting brainwashed.....<br>MAKE AMERICA GREAT AGAIN!<br>these next months are going to be insane...<br>what else to u need TRUMP to do to MAKE AMERICA GREAT AGAIN?<br>please.... vote.... for... trump!!!!!",biden zoning keep looking look like light one home head mia br president trump took bullet america got like nothing happened br trump vote everyone wake br nation crashing br get something br vote trump u need see br going wake street know br trump president ever br medium lie br get phone stop watching tv getting brainwashed br make america great br next month going insane br else u need trump make america great br please vote trump
45,🤨😒😏 vs 😦😮😧,v
46,"From <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=713"">11:53</a> trump reaction was like &quot;is he for real?&quot;",href http www youtube com watch v qqggydce amp trump reaction like quot real quot
47,Biden&#39;s Facial Expressions😕😕😕🤨🤨🤨☹☹☹,biden facial expression
48,Weekend at Bernie&#39;s.....,weekend bernie
49,"&quot;We finally beat medic care&quot;<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",quot finally beat medic care quot href uckszuwhgymbdv ujg ksifylzfolmakanydqag
50,"Trump just mentioned &quot;why did I even debate Joe? If I avoided it, he would still be running.&quot;",trump mentioned quot even debate joe avoided would still running quot
51,Why does Biden’s voice make me wanna clear my throat?,bidens voice make wan na clear throat
52,"I love how they keep saying “thank you president Biden” but let trump handle business. lol let me have it weirdos. Get a job cuz “BIDEN” created so many, and stop relying on handouts!!!",love keep saying thank president biden let trump handle business lol let weirdo get job cuz biden created many stop relying handout
53,Biden is terrified of Trump,biden terrified trump
54,Now that Biden is out of the race and that entire ordeal is finally over with it’s actually funny when he gets lost and says “look…we finally beat Medicare” in response to a question about the economy 😅.,biden race entire ordeal finally actually funny get lost say lookwe finally beat medicare response question economy
55,Biden Is Clearly Not Well And Looks Ready To Drop,biden clearly not well look ready drop
56,Trump misses Biden sooo much now. I’m sure he’ll invite him golfing after he loses this election,trump miss biden sooo much im sure hell invite golfing loses election
57,Biden is a liar!!,biden liar
58,"Saying It , then saying I won&#39;t say it, is crazy😂😂😂..",saying saying say crazy
59,"Every time Biden says &quot;the idea&quot;, I take a shot, now i&#39;m tipsy",every time biden say quot idea quot take shot tipsy
60,"I dont want to laugh 😅when Bidennnn....speaking its not joke even the host if you know how to listen would you elect a president that cant even speak , its true other countries making fun of usa that the president bidennn... cant talk good and walk  good..",dont want laugh bidennnn speaking not joke even host know listen would elect president cant even speak true country making fun usa president bidennn cant talk good walk good
61,"MR. BIDEN WITH ALL THE RESPECT JUST STEP DOWN YOU CANT RUN THE COUNTRY, THIS IS NOT GAME , JUST PLEASE DO IT. ITS ABOUT TIME TO STEP DOWN JUST FOR THE POEPLE ESPECIALLY TO THE YOUNG KIDS THERE FUTURE IS IN HAND OF COUNTRY LEADER",mr biden respect step cant run country not game please time step poeple especially young kid future hand country leader
62,BIDEN...HAS 2 WARS GOING ON NO NEED TO EXPLAIN JUST LISTEN AND LOOK AROUND POEPLE!!!! ITS DOESN&#39;T TAKE A DEGREE TO UNDERSTAND WHAT IS GOING ON. BIDEN ADMINISTRATION FIELD BIG...BIG... TIME...RESIGN TO SAVE AMERICA!!!! HAVE PITY ON THE POEPLE NOT ON YOUR OWN INTEREST AND INTENTIONS,biden war going need explain listen look around poeple take degree understand going biden administration field big big time resign save america pity poeple not interest intention
63,Look poeple BIDEN CANT EVEN SPEAK WELL ITS OBVIOUS JUST RESIGN BIDEN YOU CANT RUN THE COUNTRY,look poeple biden cant even speak well obvious resign biden cant run country
64,"YES..TRUMP IS RIGHT,  I DIDNT VOTE BUT NO EXPLANATION CAN EXPLAIN BIDEN IS THE WORST PRESIDENT EVER IN HISTORY ,I CANT EVEN AFFORD TO BUY FOOD!!!",yes trump right didnt vote explanation explain biden worst president ever history cant even afford buy food
65,Joe Biden won this debate,joe biden debate
66,"I hope Kamala and Trump shake hands before their debate, unlike Biden and Trump. I highly doubt it, but it would be great if we could restore just a bit of unity. God I miss the civilised days of Obama and McCain.",hope kamala trump shake hand debate unlike biden trump highly doubt would great could restore bit unity god miss civilised day obama mccain
67,"They clearly say that there&#39;s no studio audience but Joe Biden walks out and says, &quot;hi folks how are ya?&quot;",clearly say studio audience joe biden walk say quot hi folk ya quot
68,Trump100,trump
69,why did they down play the price of groceries going up it’s something that cost me $174 is now 430,play price grocery going something cost
70,Bad audio<br>Make it louder,bad audio br make louder
71,It was hard for Trump to keep a straight face it was easy to read his mind lol,hard trump keep straight face easy read mind lol
72,lol Trump is so convincing 😂,lol trump convincing
73,Trump: Ready to Rumble<br><br>Biden: Ready to Mumble,trump ready rumble br br biden ready mumble
74,My President BIDEN ❤,president biden
75,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2803"">46:43</a> we have p*rn being mentioned in a presidential debate before gta 6 😭",href http www youtube com watch v qqggydce amp p rn mentioned presidential debate gta
76,NOOO JOE DON’T DO IT!!!,nooo joe dont
77,Trump for president,trump president
78,You can look in Biden”s eyes n that tells it all.  Crooked,look bidens eye n tell crooked
79,Anyone who is for open boarders. Should remove all entry doors to their homes and remove all windows on their home now they can live their dream of open boarders as it really is everyone come on in you are welcome.,anyone open boarder remove entry door home remove window home live dream open boarder really everyone come welcome
80,CNN to Trump: what will you do to help Americans dying of overdose?<br>Trump: Joe hasn&#39;t cut the tarrifs.,cnn trump help american dying overdose br trump joe cut tarrifs
81,CNN to Trump: what will you do to help Americans dying of overdose?<br>Trump: Joe hasn&#39;t cut the tarrifs.,cnn trump help american dying overdose br trump joe cut tarrifs
82,"The Wall Street Journal has a lot of courage to leave its comment section open to the public. We the people can be quite brutal, but I will commend most of your healthy debates. Hopefully, no one gets banned from this comment section. God bless this country because we all know we need His blessing more than ever with Kamala around the corner. I&#39;m definitely waiting for Trump to go in on Kamala for the second debate. LOL",wall street journal lot courage leave comment section open public people quite brutal commend healthy debate hopefully one get banned comment section god bless country know need blessing ever kamala around corner definitely waiting trump go kamala second debate lol
83,2 Club Championships. 🤣🤣🤣🤣🤣🤣,club championship
84,Biden: we finally beat Medicare. trump: yeah he did beat Medicare he beat it to death,biden finally beat medicare trump yeah beat medicare beat death
85,BIDEN - HILLARY - HARRIS CAN NOT WIN BEFORE TRUMP - TRUMP MUST BE PRESIDENT OF USA -SURE,biden hillary harris not win trump trump must president usa sure
86,americans hasthe right to fight a tyrannical gouverment when ? we are watching this clownshow whats going on.,american hasthe right fight tyrannical gouverment watching clownshow whats going
87,Abortion a matter of national security holy shiiiiet,abortion matter national security holy shiiiiet
88,kitchen table belach into my veins great politics,kitchen table belach vein great politics
89,CNN CNN CNN what a joke of a network please wear clown costumes next time,cnn cnn cnn joke network please wear clown costume next time
90,"Trump won this debate. Hope he can do it again against Kamala on September 10, so Trump can be our president in 2024 👍🏿",trump debate hope kamala september trump president
91,Why do you turn off comments on some of your videos better not mine Tonto national Forest,turn comment video better not mine tonto national forest
92,Every 4 years theses politicians talk about the same thing what they gone do sounds like to me they not doing nothing but yapping,every year thesis politician talk thing gone sound like not nothing yapping
93,This is like the &quot;Donald Trump vs Tonald Drump meme edits...but real. Jesus Christ.,like quot donald trump v tonald drump meme edits real jesus christ
94,You know why trump said he will end the Ukraine war fast easy he want to get rid of nato that’s why the war is going on now I say get rid of nato too because it’s useless,know trump said end ukraine war fast easy want get rid nato thats war going say get rid nato useless
95,How will we help child care?<br>Biden: he&#39;s the worst president in history<br>Trump: no you<br>Biden: no you<br>Moderator: next question<br>Both: okay<br>😂,help child care br biden worst president history br trump br biden br moderator next question br okay br
96,Cucuu and oldtiimmminer,cucuu oldtiimmminer
97,Joe talking so slow you play it on 2x speed it sounds normal 😂😂💀,joe talking slow play x speed sound normal
98,wait Biden did not fire any official that&#39;s not serious,wait biden not fire official not serious
99,Trump 2024❤,trump
100,This makes me so sad.,make sad
101,what even is this?,even
102,🙌Trump for President 2024🙌,trump president
103,"What do you plan to do about Childcare?<br>Trump : He&#39;s a terrible president, <br>Biden: My deficit is lower<br>😂😂😂😂😂😂😂😂 Both of em are clowns and neither one answered the question. Just read the transcript before you call me a liar.",plan childcare br trump terrible president br biden deficit lower br em clown neither one answered question read transcript call liar
104,"Trump: I fired people I don&#39;t like. He, doesn&#39;t fire people because he likes them. <br><br>Sounds about Right.",trump fired people like fire people like br br sound right
105,Yeah CNN just really lied about that groceries only the.... That&#39;s why I don&#39;t watch CNN they lie!!!!,yeah cnn really lied grocery watch cnn lie
106,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4583"">1:16:23</a>",href http www youtube com watch v qqggydce amp
107,funny in hindsight. trump wins a debate for the first time and it destroyed his easy victory.,funny hindsight trump win debate first time destroyed easy victory
108,Dana is looking hot 🔥,dana looking hot
109,"States rights are never a great thing, especially down in the south 😥😥",state right never great thing especially south
110,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=3929"">1:05:29</a><br><br>That is where it should be clear enough for everybody to see.<br><br>Bit lateron: &quot;We are the most admired country in the world&quot;<br><br>Joe, i really wanna ask where you get your stuff.<br>I need it.<br>Seems like Lucy in the Sky with Diamonds to me.",href http www youtube com watch v qqggydce amp br br clear enough everybody see br br bit lateron quot admired country world quot br br joe really wan na ask get stuff br need br seems like lucy sky diamond
111,THE IDEA!!!<br>I&#39;ve got no idea anymore,idea br got idea anymore
112,I swear I&#39;m living in a simulation.... LOL,swear living simulation lol
113,TRUMP:_ ON EACH TIME HE KEPT SAYING MIGRANTS ARE COMMING IN 😂😂😂<br>MIGRENTOPHOBIA,trump time kept saying migrant comming br migrentophobia
114,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=3816"">01:03:36</a> 😂😂😂😂",href http www youtube com watch v qqggydce amp
115,"This might yet prove to be the biggest blunder of Trump’s career. This debate ended Biden’s career and totally shook up the race.<br><br>Trump genuinely appears to have thought that Biden would never end his campaign.<br><br>Couple this with an insanely early GOP convention, all before Biden ended his campaign, and Trump appears now to be fumbling and losing momentum.",might yet prove biggest blunder trump career debate ended bidens career totally shook race br br trump genuinely appears thought biden would never end campaign br br couple insanely early gop convention biden ended campaign trump appears fumbling losing momentum
116,Having fun scrolling through the comments 😊,fun scrolling comment
117,I Love Around the World 🌎❤❤❤❤❤❤,love around world
118,❤❤❤❤❤. Good night friend,good night friend
119,Is Biden even human?,biden even human
120,Trump/Vance 2024 🇺🇸,trump vance
121,Kamala Harris 2024,kamala harris
122,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=5247"">1:27:27</a><br>Do you even know why would be needed (soldiers)<br>Is because you&#39;re what some people call a (rollover) ms. biden (lower case)",href http www youtube com watch v qqggydce amp br even know would needed soldier br people call rollover m biden lower case
123,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=5247"">1:27:27</a><br>Do you even know why would be needed (soldiers)<br>Is because you&#39;re what some people call a (rollover) ms. biden (lower case)",href http www youtube com watch v qqggydce amp br even know would needed soldier br people call rollover m biden lower case
124,Trump I love you❤❤❤❤,trump love
125,Dems are lieing about their deficit spending,dems lieing deficit spending
126,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=314"">5:14</a> Resurrection of the Commander and Chief President and Leader Donald Trump",href http www youtube com watch v qqggydce amp resurrection commander chief president leader donald trump
127,Biden is not even a decent puppet,biden not even decent puppet
128,trump was not honest about almost everything,trump not honest almost everything
129,Biden: my son was not a sucker and loser 🤣🤣🤣🤣🤣🤣🤣🤣,biden son not sucker loser
130,😅Bidens voice 🤣🤣🤣🤣,bidens voice
131,Idea.... Stop sending money to other countries and cut OUR TAXES🤯🤯🤯🤯,idea stop sending money country cut tax
132,There&#39;s no climate crisis other than electric cars,climate crisis electric car
133,Also time on debates should be unlimited... Otherwise it&#39;s not a real debate,also time debate unlimited otherwise not real debate
134,After birth=murder!,birth murder
135,This debate is insane but I am Impressed that Biden said ‘EE -raq’ and not ‘EYE-raq’,debate insane impressed biden said ee raq not eye raq
136,Trump 2024,trump
137,Scylla and Charybdis,scylla charybdis
138,Trump straightened out the VA hospital,trump straightened va hospital
139,People are being trafiiicatefied and killed with drugs,people trafiiicatefied killed drug
140,Taking a child&#39;s life at 8 or 9 months is murder!!!!,taking child life month murder
141,We conquerd Covid under president Trump,conquerd covid president trump
142,I&#39;m afraid we will become a third. World country under president Biden,afraid become third world country president biden
143,Trump 2024❤,trump
144,Biden is/seems strange to me.,biden seems strange
145,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=135"">2:15</a> who is blud waving at",href http www youtube com watch v qqggydce amp blud waving
146,"Biden&#39;s cognitive function may have been in better condition, but only Trump needs his supporters to wear a caps telling him his name, and what year it is.",biden cognitive function may better condition trump need supporter wear cap telling name year
147,Joe Biden is Rahul Gandhi of America.,joe biden rahul gandhi america
148,川建国牛逼2024,
149,Test,test
150,Please don’t forget jubilee pays $50 for these guys and they’re just doing this for exposure or out of pure innocence for $50. Be nice to them 😂,please dont forget jubilee pay guy theyre exposure pure innocence nice
151,"Здравствуйте, я из России, они у нас тоже популярны, мы бы хотели чтобы президентом сша стал трамп, с ним больше вероятности завершить конфликт на Украине, у нас считают, что российский трамп- это жириновский, посмотрите его выступления на дебатах, если интересно!",
152,Temporary insanity,temporary insanity
153,"is this litterally just Ed Hominems like do they actually talk about how they will improve thier country , as a foreigner tho , PURE ENTERTAINMENT",litterally ed hominems like actually talk improve thier country foreigner tho pure entertainment
154,So what I gather from this is that he never cared so much about the people but about proving his nay sayers wrong. Jill “looked” the last and from a PR stand point they wanted to seem like the perfect Irish. Catholic family 😂<br><br>So he was always fake…,gather never cared much people proving nay sayers wrong jill looked last pr stand point wanted seem like perfect irish catholic family br br always fake
155,Biden is a disgrace,biden disgrace
156,You call it migrant crime? I call it Biden migrant crime! Best line of debate,call migrant crime call biden migrant crime best line debate
157,Wait biden is from the same town as michael scott.,wait biden town michael scott
158,DONALD TRUMP 2024!!!!,donald trump
159,Biden making a mental checklist when he debates so he doesn&#39;t forget his points,biden making mental checklist debate forget point
160,Biden Winning : Reptilians ruling the planet again (WAR-BAD THINGS HAPPENING)<br>Trump Winning : Mankand (humans) ruling the planet again  : (PEACE-WISDOM AND LOVE HAPPENING),biden winning reptilian ruling planet war bad thing happening br trump winning mankand human ruling planet peace wisdom love happening
161,He said Period Period ya&#39;ll  🌟,said period period ya
162,Both of them love their country but just want to be ahead of one another.,love country want ahead one another
163,"Biden: we beat medicare<br>Trump: yes, you did beat medicare, you beat it to death<br>Me: 😂😂😂😂",biden beat medicare br trump yes beat medicare beat death br
164,“You answered all the questions Joey!”,answered question joey
165,Joe Biden should go on a vacation and enjoy his retirement <br>He’s no longer has the energy and the strength to do anything <br>He’s too weak to be a president,joe biden go vacation enjoy retirement br he longer energy strength anything br he weak president
166,Joe has NO concept of numbers at all or of anything for that matter- this is disgraceful and disgusting. TRUMP 2024!!!!! 🏁,joe concept number anything matter disgraceful disgusting trump
167,Around the world ? We don&#39;t care.,around world care
168,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=132"">2:12</a>",href http www youtube com watch v qqggydce amp
169,"America hasn&#39;t grown past it&#39;s distractive racism. We have untold millions and billions being invested into technology such as AI and robot building. There&#39;s nothing wrong with these technologies, but what actually has become a non-common sense issue, is the fact that every penny invested into these machines could&#39;ve been used to heal the problems that haunts America today. Homelessness, low  job hiring, starvation, and a climate that&#39;s unpredictable with a poor ozone layer where UV light will be increasing. Robots and AI will take away jobs usually worked by the lower-class and minorities... Gone. Robots only, no humans allowed. Invest in the America people. Not becoming lazier. What&#39;s great about a country that&#39;s running on all cylinders, because they leftout the core of backbreaking black, brown, red and yellow that not only built America, but made America what it is today... That&#39;s America!",america grown past distractive racism untold million billion invested technology ai robot building nothing wrong technology actually become non common sense issue fact every penny invested machine could used heal problem haunt america today homelessness low job hiring starvation climate unpredictable poor ozone layer uv light increasing robot ai take away job usually worked lower class minority gone robot human allowed invest america people not becoming lazier great country running cylinder leftout core backbreaking black brown red yellow not built america made america today america
170,Biden&#39;s in Dreamland and he&#39;s talking in his sleep right now,biden dreamland talking sleep right
171,"This is beyond entertaining, wish it came more than a few times every four years.",beyond entertaining wish came time every four year
172,whos gonna pay me reading all your comments...,who gon na pay reading comment
173,Notice how Biden didn’t say they didn’t cheat but he said “there was no evidence of that” like come on joeyyyy we knoweyyy !!,notice biden didnt say didnt cheat said evidence like come joeyyyy knoweyyy
174,"Biden’s body language shows he’s lying. Rubbing your nose means you’re potentially lying or stressed. I say he’s lying. Check it out around <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=105"">1:45</a>",bidens body language show he lying rubbing nose mean youre potentially lying stressed say he lying check around href http www youtube com watch v qqggydce amp
175,"Biden’s body language shows he’s lying. Rubbing your nose means you’re potentially lying or stressed. I say he’s lying. Check it out around <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=105"">1:45</a>",bidens body language show he lying rubbing nose mean youre potentially lying stressed say he lying check around href http www youtube com watch v qqggydce amp
176,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2383"">39:43</a> 🤣I don&#39;t know whether I should laugh or cry ...",href http www youtube com watch v qqggydce amp know whether laugh cry
177,Is not so bad,not bad
178,True! I am in the military and I had a sailor die in school or shall I say was murdered by an illegal immigrant who hit him on his motorcycle!!!,true military sailor die school shall say murdered illegal immigrant hit motorcycle
179,Who else came back for entertainment?,else came back entertainment
180,President Biden stated many facts COHERENTLY.,president biden stated many fact coherently
181,Now go watch the Putin interview,go watch putin interview
182,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1295"">21:35</a> this is why fentanyl is so big now",href http www youtube com watch v qqggydce amp fentanyl big
183,biden is a joke,biden joke
184,LETS GO BRANDON!,let go brandon
185,TRUMP only hope,trump hope
186,dead man walking,dead man walking
187,biden number one lie number 2 lie number 3 lie,biden number one lie number lie number lie
188,😮,
189,"I ❤and❤the United States, but not I l have ever loved her deep in my bone the way I do it right now, I got no benefit other than patriotic American sisterhoods&#39;  brotherhoods&#39;.",andthe united state not l ever loved deep bone way right got benefit patriotic american sisterhood brotherhood
190,Auderion me,auderion
191,In the CNN to Adaon day to day,cnn adaon day day
192,Sea wioerican,sea wioerican
193,Фгога,
194,Biden looks very robotic these days.....😢,biden look robotic day
195,can he even add?,even add
196,biden🤡,biden
197,Trump 2024,trump
198,"Just watching this debate. Actually, I don’t think Joe did as bad as everyone is making it out to be. Yes he does look older and more frail than DonOld. But I thought his responses were solid. And I think his stuttering problem was an issue. BUT DonOLD is a liar!! And the lies just roll out his mouth so easily. UM Charlottesville happened. We all saw it. The US is more energy independent under Biden than Trump. The data shows that during Biden’s term the US has exported more energy including petroleum than imported and we have produced more energy than consumed. NATO is not saying hailing the successes of Trump.  It’s very fascinating to watch the lies just roll out of his mouth like it’s the truth.",watching debate actually dont think joe bad everyone making yes look older frail donold thought response solid think stuttering problem issue donold liar lie roll mouth easily um charlottesville happened saw u energy independent biden trump data show bidens term u exported energy including petroleum imported produced energy consumed nato not saying hailing success trump fascinating watch lie roll mouth like truth
199,"Trump is the same age now that Biden was when he was elected.  Trump&#39;s frequent, infantile and incoherent rants suggest cognitive impairment.  Let&#39;s not repeat history.  We do not need another octogenarian president!",trump age biden elected trump frequent infantile incoherent rant suggest cognitive impairment let not repeat history not need another octogenarian president
200,"Trump: &quot;Some people don&#39;t think girls who get raped should be allowed abortions, and I say hey, follow your heart, you know?&quot;<br><br>Also Trump: &quot;Poor dead babies :( So innocent&quot;",trump quot people think girl get raped allowed abortion say hey follow heart know quot br br also trump quot poor dead baby innocent quot
201,Make weed leagle and u will win,make weed leagle u win
202,Hm.,hm
203,A bag of groceries that costed $100 now cost $200 not $120 stop gaslighting the American people,bag grocery costed cost not stop gaslighting american people
204,This was like watching that boxer at the olympics get beat down by the XY chromosome “girl”,like watching boxer olympics get beat xy chromosome girl
205,"Mr. Trump behaviour, as a President during his time was too rough without any etiquette’s , speaking openly against some religions and openly used to support some other religions.. His wording was like a Rowdy Hitler type…",mr trump behaviour president time rough without etiquette speaking openly religion openly used support religion wording like rowdy hitler type
206,😊,
207,legend says biden still trying to find stairs,legend say biden still trying find stair
208,the scary thing is Biden is still President,scary thing biden still president
209,Poor Biden,poor biden
210,It&#39;s boring when they can&#39;t interrupt,boring interrupt
211,this is so intresting and funny,intresting funny
212,Wonder how  they select biden as president😂.. Even normal politicians can beat him badly in terms of speech😂,wonder select biden president even normal politician beat badly term speech
213,"Very strong feeling eyes and opinions, will not put us through this again",strong feeling eye opinion not put u
214,"I do agree with Biden he worked really hard on taking that border down I mean extremely. Now look at the mess you got us in, is this man even taking this sincerity of this hello. Evidently      NOT.",agree biden worked really hard taking border mean extremely look mess got u man even taking sincerity hello evidently not
215,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2120"">35:20</a> Trump shaking his head at Biden 😂",href http www youtube com watch v qqggydce amp trump shaking head biden
216,They brought Trump in as a distraction from their complete incompetency and abuse of the people. Travesty.,brought trump distraction complete incompetency abuse people travesty
217,"Love to see Trump ready and confident to debate Biden but too scared to debate Kamala Harris on the September debate. This man is hiding 😅. If you got something to say, SAY IT TO MY FACE 😂🎉",love see trump ready confident debate biden scared debate kamala harris september debate man hiding got something say say face
218,NUMBER 2 <br>IM MAKING IT RIGHT NOW!,number br im making right
219,AM YISRAEL CHAI,yisrael chai
220,Joe Biden constantly: 😮,joe biden constantly
221,"The very first response was a blatant lie, as if we don&#39;t remember prices going down after the pandemic. As if we don&#39;t remember the prices going back up when he started shipping money by the tugboatload to foreign economies. <br>Lies are why people don&#39;t trust the government, lies leave gaps for conspiracies to form and grow.",first response blatant lie remember price going pandemic remember price going back started shipping money tugboatload foreign economy br lie people trust government lie leave gap conspiracy form grow
222,Hellp myanmar china 😮😢,hellp myanmar china
223,"Sleepy joe did it again! Start off strong, fast, good volume and then just comes to a complete stop during a sentence ahhhhhhhh k. look at him stare at Trump without blinking ....please Donald go easy on me.",sleepy joe start strong fast good volume come complete stop sentence ahhhhhhhh k look stare trump without blinking please donald go easy
224,"Wait, where are the hate filled Dems ?? Not one comment defending their President…. Wow, they’re hiding",wait hate filled dems not one comment defending president wow theyre hiding
225,When are black jobs mentioned?,black job mentioned
226,Biden sent into retirement,biden sent retirement
227,"Trump, and the comment section is the reason I watch these debates",trump comment section reason watch debate
228,tump all the way !!!!!♥️🙏♥️best  of all President yet !!!!♥️🙏♥️🙏,tump way best president yet
229,Trump is the Greatest realistic of all time,trump greatest realistic time
230,Biden is cruel old man!!!,biden cruel old man
231,Biden is lying!!!Go on Trump!!!,biden lying go trump
232,Idk m trying so hard to understand Biden but literally his words doesn&#39;t makes any sense at all at any questions asked,idk trying hard understand biden literally word make sense question asked
