Comment Number,Comment Content,Processed comments
42,"Wow, so even the WSJ is already campaigning for Harris now with this political a--I mean news video.",wow even wsj already campaigning harris political ai mean news video
43,"One more presidential debate in the near the horizon, right? Let&#39;s see how Kamala fare against Trump. One can then decide whether Democrats should refocus for 2028 presidential election.",one presidential debate near horizon right let u see kamala fare trump one decide whether democrat refocus presidential election
44,"Only a few days ago, Biden still insisted that he was the best qualified person to be the president and the best to defeat Trump. Now she is! She did not get far in 2020. She was picked up for VP purely because of her color and gender. Period.",day ago biden still insisted best qualified person president best defeat trump get far picked vp purely color gender period
45,Kamala the joke,kamala joke
46,White America &gt; everything else,white america everything else
47,Kamala 😂. Kamala running for president 😂,kamala kamala running president
48,She won’t even be the nominee.,even nominee
49,Who edited this video? 🗑️,edited video
50,Black voters should have learnt their lesson by now….,black voter learnt lesson
51,This could be concerning.<br>The many that will not vote for Joe may vote for her…<br>People vote with their hearts not their minds…,could concerningthe many vote joe may vote herpeople vote heart mind
52,"She has the audacity to say Trump doesn&#39;t have the character to be President??  Ask the then married S.F. Mayor, Willie Brown, about Kamala&#39;s &#39;good character&#39;, LOL!  Not good character you can brag about, Kamala....",audacity say trump character president ask married sf mayor willie brown kamalas good character lol good character brag kamala
53,Trump already won.,trump already
54,Give me a break,give break
55,A vote for Harris is a vote against Project 2025.,vote harris vote project
56,"She doesn&#39;t appear to have the experience. She&#39;s, dare I say, far too young in the eyes of most voters. Regardless of her reality; those perceptions will hurt her at the poll.",appear experience dare say far young eye voter regardless reality perception hurt poll
57,Harris laugh is so weird,harris laugh weird
59,"I&#39;m disappointed at how many doubters there are. I know a lot of people hate Kamala. I admit, I probably haven&#39;t seen her speak as much as those people, but what I do know, is she will be able to speak coherently, and hopefully be able to actually talk back to Trump in a debate environment. Assuming she&#39;s the nominee. I feel nothing but relief that it isn&#39;t entirely resting on Biden now. Even if it&#39;s a slim chance, at least we&#39;ll have someone who doesn&#39;t freeze up on stage.",disappointed many doubter know lot people hate kamala admit probably seen speak much people know able speak coherently hopefully able actually talk back trump debate environment assuming nominee feel nothing relief entirely resting biden even slim chance least someone freeze stage
60,God bless President Biden! And God bless the next democratic nominee and president of the United States of America!!!,god bless president biden god bless next democratic nominee president united state america
61,"Another fake news bias report by Wall street Jouranal. Hey why don&#39;t you guys do a report about related hedge firm Blackrock trying to short their Donald Trump stock a day before the hit and told the SEC to unlisted it day later on their filings site when people found out , oh yeah , I forgot , your fake news !!!",another fake news bias report wall street jouranal hey guy report related hedge firm blackrock trying short donald trump stock day hit told sec unlisted day later filing site people found oh yeah forgot fake news
62,I would LOVE to see Joey&#39;s face when he&#39;s finally told he dropped out of the race earlier today.,would love see joeys face finally told dropped race earlier today
63,"No thank you, for Harris. We need a stronger candidate!",thank harris need stronger candidate
64,😂😂😂😂😂 are you kidding me? I want what you’re smoking!,kidding want smoking
65,I saw on the Simpson she is the President and they are all ways right 🎉🎉🎉🎉🎉🎉🎉,saw simpson president way right
66,laughable. NO she is worse than Biden as if that was possible!,laughable worse biden possible
67,"Kamala knows what can be, unburdened By what has been...",kamala know unburdened
68,"Bruh, she couldn&#39;t even win the primary for her own party. How is she gonna win the election?? Not gonna happen",bruh could even win primary party going win election going happen
69,"Please someone name ONE thing that KH achieved as VP USA...I hear crickets...ZIP...NIL...ZERO - Oh, OPEN BORDER CZAR!!",please someone name one thing kh achieved vp usai hear cricketszipnilzero oh open border czar
70,Kamala WHO?????  Trump2024<br>Trump has my vote,kamala trumptrump vote
71,No chnace at all,chnace
72,She is a joke an will lose 100 %,joke lose
73,Harris isn&#39;t Obama  especially with their disastrous first term.,harris obama especially disastrous first term
74,ROFL...HAHHAHAHAHHAHAHHAH ROFL ROFL,roflhahhahahahhahahhah rofl rofl
75,"<a href=""https://www.youtube.com/watch?v=akvhkLHnOAM&amp;t=186"">3:06</a> my man said young lol she&#39;s 60",man said young lol
76,She was always last in the presidential debates.  Her polls numbers have always been much lower than Biden&#39;s.  She had one job to secure the boarder and has never been there.,always last presidential debate poll number always much lower bidens one job secure boarder never
78,Let’s watch the racists and misogynists come out in full force. I see you guys testing the waters with coded language. Just say exactly what you feel at your core.,let u watch racist misogynist come full force see guy testing water coded language say exactly feel core
79,I LOVE BIDEN HATE HARRIS - A DO NOTHING VP WHO A FEW WEEKS BACK THEY SAID SHE WAS A DRAG ON JOE -  A FEW SPEECH&#39;S ON ABORTION AND SHE IS BRILLIANT - NOT IN MY MIND. SHE WAS A TERRIBLE AG - CARED MORE ABOUT WINING THAN JUSTICE.  ONLY HAD 4 YEARS IN SENATE AND A 4 YEAR AS DO NOTHING VP.  THE DEMOCRATIC LEADERSHIP STINKS THEY TOOK MY VOTE AWAY JUST LIKE TRUMP TRIED TO DO ON JAM 6TH  AND THEIR CHAOS WAS WORSE THAN TRUMPS.  THE REPUBLICANS HANDED THEM A WINING TICKET  PROJECT 2025 - EVEN I COULD WIN.  PROJECT 2025 SEARCHES FROM JUNE 30 WENT OVER TAYLOR SWIFT SEARCHES WHEN MSNBC SHOWED IT THE EARLY PART OF JULY. -  WHY THE PUSH?   I GUESS THESE POLITICIANS CAN&#39;T SELL SO HOW DID THEY GET ELECTED.,love biden hate harris nothing vp week back said drag joe speech abortion brilliant mind terrible ag cared wining justice year senate year nothing vp democratic leadership stink took vote away trump tried jam th chaos worse trump republican handed wining ticket project even could win project search june went taylor swift search msnbc showed early part july push guess politician not sell get elected
80,Lol😂 Harris and Biden are like Dumb and Dumber.,lol harris biden dumb dumber
81,She has absolutely no chance,absolutely chance
82,"Quote &quot;how do you win the presidency if don&#39;t win the majority of white voters&quot;<br>Comment:<br>When a person has to specifically cater to certain voters because of her race, skin color, or gender, they cannot make objective and fair judgments about what policy is most beneficial for the country.<br><br>Trump has fewer external influences from other groups or people that would prevent him from doing what is best for the country.",quote win presidency win majority white voterscommentwhen person specifically cater certain voter race skin color gender not make objective fair judgment policy beneficial countrytrump fewer external influence group people would prevent best country
83,Joe conveniently steps down just after Trump&#39;s assassination attempt..... Dry snitching if you ask me ... Now all the prefabricated propaganda starts rolling out talking about how Kamala is going to win..... Ooooookaaaaaayyyyyyyyy ... 🍿 Its a big friggin show and we are all fed the illusion of democracy,joe conveniently step trump assassination attempt dry snitching ask prefabricated propaganda start rolling talking kamala going win ooooookaaaaaayyyyyyyyy big friggin show fed illusion democracy
84,Jamaicans🇯🇲 would love to see Americans🇺🇸 invest more in Jamaica 🇯🇲 like bringing in a lot of  new companies so more people can get jobs in every field,jamaican would love see american invest jamaica bringing lot new company people get job every field
85,"@Harris, what is a woman?",harris woman
86,Trump<br>2024,trump
87,"&quot;Kamala, was that Willie Brown?&quot; &quot;Actually, it was closer to beige.&quot;",kamala willie brown actually closer beige
88,Strong? Lol...😂😂😂😂😂,strong lol
89,"I will NEVER forget how these networks, media outlets, pundits, donors and some Democratic leaders\Democrats browbeat, bullied, harassed and terrorized President Biden into not seeking re-election in 2024 because of his age.<br><br>They disregarded his OUTSTANDING record and stellar performance as POTUS while being silent re: his lowest of his low opponent, Donald Trump-a pathological liar, bully, convicted felon, textbook insurrectionist, civil sexual assaulter &amp; horrific human being.<br><br>My heart goes out to and is with President Biden. I stand with and will support Kamala Harris as the Presidential nominee, however, Trump and his cronies had better pray Michelle Obama doesn&#39;t come off of the bench. <br><br>VOTE BLUE!",never forget network medium outlet pundit donor democratic leadersdemocrats browbeat bullied harassed terrorized president biden seeking reelection agethey disregarded outstanding record stellar performance potus silent lowest low opponent donald trumpa pathological liar bully convicted felon textbook insurrectionist civil sexual assaulter horrific human beingmy heart go president biden stand support kamala harris presidential nominee however trump crony better pray michelle obama come bench vote blue
90,"She’s not strong at all, I feel like even democrats don’t like her like they did Joe",strong feel even democrat joe
91,Kamala will step into Joe&#39;s shoes she Will Win we want her and no I&#39;m not black shell  get the vote.,kamala step joes shoe win want black get vote
92,They literally so helpless the just playing the female card what a joke.,literally helpless playing female card joke
93,Let me put it to this way. Period whoever it is we’ll get my vote. The objective here is to keep Trump far far away and watch him fade off into the sunset until he does some act that gets him thrown into prison for good.,let put way period whoever get vote objective keep trump far far away watch fade sunset act get thrown prison good
94,Kamala will stop the $500.00 hammers and cut this Military budget!,kamala stop hammer cut military budget
95,She only got 844 votes. People can’t stand her,got vote people not stand
96,I think that she would make a good candidate. I wish her all the best going forward!,think would make good candidate wish best going forward
97,Comparing Kamala Harris to Barrack Obama is an insult to Obama,comparing kamala harris barrack obama insult obama
98,"Let&#39;s be real, Joe Biden was a low bar to beat.",let u real joe biden low bar beat
99,"However, Kamala is NOT Obama. Never will be.  The world has watched her bungle for 3 years. She got ZERO support during her own presidential run. She is known for sentences that make no sense. <br>Not a strong candidate….",however kamala obama never world watched bungle year got zero support presidential run known sentence make sense strong candidate
100,Ms. Giggles.,m giggle
101,If Democrats want to win they need PA GOV. JOSH SHAPIRO AS PRESIDENT AND MARYLAND GOV. WESS MOORE AS VP PICK.,democrat want win need pa gov josh shapiro president maryland gov wess moore vp pick
102,"How can she be a better candidate? She&#39;s younger than Biden, but using her repeated soundbites won&#39;t help her. She had people of color locked up in prison for minor crimes in California, stating they could be used as free labor. She lied for how many years, saying Biden was &quot;healthy&quot; and vibrantly aware. She panders to whomever she believes will give her power. She would never be in the Wall Street Journal if it had to do with business. She is not African-American. Dem delegates need to seriously reconsider putting someone else on the ticket now. RFK Jr getting more love than Harris",better candidate younger biden using repeated soundbites help people color locked prison minor crime california stating could used free labor lied many year saying biden healthy vibrantly aware pander whomever belief give power would never wall street journal business africanamerican dem delegate need seriously reconsider putting someone else ticket rfk jr getting love harris
103,meanwhile Kakala has never been to Europe. Willie did take her to Disney World that one time though,meanwhile kakala never europe willie take disney world one time though
104,She is not in African American.Why don&#39;t you people look into that !!,african americanwhy people look
105,She destroyed San Francisco and played jump rope with the border crisis. She also put millions in jail for marijuana and laughed about it,destroyed san francisco played jump rope border crisis also put million jail marijuana laughed
106,"I&#39;m Mexican living in Mexico and from the bottom of my heart I wish Americans vote Trump, he is the best option for our American amigos.",mexican living mexico bottom heart wish american vote trump best option american amigo
107,Kamala went to school in Canada...busing in California was a lie. She is not charismatic like Obama either. It&#39;s going to be worse than 2016.,kamala went school canadabusing california lie charismatic obama either going worse
108,Harris vs Trump⁉️🤣😂🤣,harris v trump
109,Kamala Harris should be highly desired by any Can Can dance companies in Paris.,kamala harris highly desired dance company paris
110,If she is successfully able to  make Trump look like an old out of touch fossil with the mainstream voter and young voters then she will win. Her policy on abortion may also help her with women.,successfully able make trump look old touch fossil mainstream voter young voter win policy abortion may also help woman
111,"harris isn&#39;t black !<br>abortion is still legal , it&#39;s the states that decide",harris black abortion still legal state decide
112,We still voting trump lol,still voting trump lol
113,Harris 2024!💙🇺🇸,harris
114,13 percent of the population want to be 100%,percent population want
115,"Ah-hahahahahahahahahahahahahahahaha. stronger? No. It&#39;s not Willy Brown who decides whether she wins or loses, so, she&#39;s going to LOSE.",ahhahahahahahahahahahahahahahahaha stronger willy brown decides whether win loses going lose
116,"Anybody, even a dog would be &quot;A Stronger Candidate Against Trump&quot;",anybody even dog would stronger candidate trump
117,And Kamala Harris doesn&#39;t the know-how to be even vice-president!!!,kamala harris knowhow even vicepresident
118,She needs to meet with TikTok/social media influencers to get her name &amp; policies out there to the youth!!!,need meet tiktoksocial medium influencers get name policy youth
119,One clown dropped out another running.  That&#39;s Hilarious 😂,one clown dropped another running hilarious
120,"USA is not a land of the free anymore. A country divided by race, values, and religion. Future is either a civil war, or gradual loss of its civilisation through demographic change.",usa land free anymore country divided race value religion future either civil war gradual loss civilisation demographic change
121,&quot; I went to bed and slept the sleep of the saved” <br>- winston churchill,went bed slept sleep saved winston churchill
122,Thank you president Biden for your decades of service and sacrifice.     You will go down in history as one of the greatest president of the modern era. AMERICA 🇺🇸 will miss your leadership. ❤️,thank president biden decade service sacrifice go history one greatest president modern era america miss leadership
123,Another 4 years of the orange conman &amp; his crooked family. No matter what else he has done i will never forgive his bonespurs bs. sorta like cassius clay and lou alcinder,another year orange conman crooked family matter else done never forgive bonespurs b sorta cassius clay lou alcinder
124,The best man to beat Trump just step down. <br>Write in Biden,best man beat trump step write biden
125,Where is Willie Brown?,willie brown
126,"My Liberal Neighbors told us if Biden drops out, they will support Trump.  They said Cackling Harris is a joke.",liberal neighbor told u biden drop support trump said cackling harris joke
127,This is hilarious,hilarious
128,Definitely voting for Harris and telling all my family members to do so as well. God bless our future President Harris~,definitely voting harris telling family member well god bless future president harris
129,It&#39;s like the media is on someone payroll that knows exactly of what outcomes are going to take place in the polotical circles and are just &quot;waiting&quot; for the event to happen. Obvious much.,medium someone payroll know exactly outcome going take place polotical circle waiting event happen obvious much
130,She is very weak candidate big mistakes,weak candidate big mistake
131,You are wrong <br>I’m not going to vote at all,wrong going vote
132,"Don’t tell that she’s not African American,cylburn will be furious to find out Biden tricked him",tell african americancylburn furious find biden tricked
133,JC this will be funny... All the best KH,jc funny best kh
134,"🎉ENERGIZES the electorate, brings out more PROPLE to VOTE helping all the other races for a Democratic win and saving the 🇺🇸 from the fascist dictatorship of trump 👹",energizes electorate brings prople vote helping race democratic win saving fascist dictatorship trump
135,Pick Michelle Obama for vice president.,pick michelle obama vice president
136,The democrats and I hate to say this they set up Donald Trump to be shot. Ms. Harris  needs to take her presidency and sholve it. Trump  is winner,democrat hate say set donald trump shot m harris need take presidency sholve trump winner
137,How could Trump&#39;s policies on abortion even matter now that it is all decided at the state level.  Learn some public civics.,could trump policy abortion even matter decided state level learn public civics
138,Just subscribed because of how fast this was uploaded 😂,subscribed fast uploaded
139,Kackling Kamala will be destroyed debating against Trump.<br>TRUMP 2024😊,kackling kamala destroyed debating trumptrump
140,Trump doesnt have policies on abortion and has stated he would not sign a federal abortion ban.,trump policy abortion stated would sign federal abortion ban
141,Kamala president the laughing president,kamala president laughing president
142,She’s the worst.  🤮🤮🤮🤮🤮🤮,worst
143,Voting for her is like voting for Biden. 🔥,voting voting biden
144,He conveniently steps down after trump assassination attempt..... Dry snitching?,conveniently step trump assassination attempt dry snitching
145,"yesssssss go kamala ... kamala, jasmine, and ledricka are best choices for president.. all strong smart brave leaders for our future",yes go kamala kamala jasmine ledricka best choice president strong smart brave leader future
146,She has nothing to prove... We are voting against the implementation of Project 2025..,nothing prove voting implementation project
147,She is totally unfit and unprepared to be commander in chief.,totally unfit unprepared commander chief
148,"Trump 2024, with the help of Kennedy 2024, will beat Harris!",trump help kennedy beat harris
149,Still voting for trump/rfk 😂,still voting trumprfk
150,This video was released at the same time when Joe Biden decided to give up. It was pre-recorded.,video released time joe biden decided give prerecorded
151,Kamala Harrison for president.  Liz Cheney for vice president !,kamala harrison president liz cheney vice president
152,The fact they used a question mark means it&#39;s bad,fact used question mark mean bad
153,"Endorsing Kamala Harris as President, is like asking a first-grader to be a high school principal...not qualified.",endorsing kamala harris president asking firstgrader high school principalnot qualified
154,No one likes Kamala. She can&#39;t even speak intelligently.,one like kamala not even speak intelligently
155,Kamala and Michelle Obama vice,kamala michelle obama vice
156,Go Trump!,go trump
157,She will do fine..,fine
158,We don’t want Harris come on…. Why do you guys not get it. You made the same mistake with Clinton. And I’m a black woman.,want harris come guy get made mistake clinton black woman
159,"Biden needed to stand down, when re-election was starting to happen.",biden needed stand reelection starting happen
160,"i wish that she wins but i don&#39;t think (as much as i disagree) that America is ready for a woman POTUS. it does not matter to me that she is a black/asian or from Mars, this country took until 1920 before they even gave women the right to vote",wish win think much disagree america ready woman potus matter blackasian mar country took even gave woman right vote
161,"She&#39;s a great prosecutor?!  Sure, everyone knows how much Americans love lawyers.  Maybe slightly more popular than Michelle Obama with kids in school cafeterias.",great prosecutor sure everyone know much american love lawyer maybe slightly popular michelle obama kid school cafeteria
162,"Joe Biden, didn&#39;t drop out he was outed by his party. Kamala, you don&#39;t have the character to be the President of the USA either. You have been a slacker as the VP.",joe biden drop outed party kamala character president usa either slacker vp
163,So now Trump is the oldest candidate for president. He is too old.,trump oldest candidate president old
164,Kamala is a kind person with a big heart. She cares about people. She was a<br>district attorney and has never been convicted of any felonies. I am so happy she <br>is in the race.,kamala kind person big heart care people adistrict attorney never convicted felony happy race
165,"Congratulations America and democracy, I can hear Republicans wiping from across the pond 😂",congratulation america democracy hear republican wiping across pond
166,Just get Michelle already,get michelle already
167,"Out of the 29 presidential candidates from the 2020 primaries, Harris was one of the least popular.... kind of scary if the WW3 pops off and we have someone like Kamala at the helm.",presidential candidate primary harris one least popular kind scary ww pop someone kamala helm
168,"Harris doesn&#39;t have a chance. They know that, only 1 candidate has any chance against TRUMP........",harris chance know candidate chance trump
169,she got my vote in november!,got vote november
170,"No importa quién sea elegido, Estados Unidos seguirá cayendo.",importa quien sea elegido estados unidos seguira cayendo
171,How is the housing crisis NOT on the list of most important issues facing the country?,housing crisis list important issue facing country
172,Love love love her❤,love love love
173,Can you imagine her cackling<br>when she is shown the code and<br>the button.........,imagine cacklingwhen shown code andthe button
174,They had these interviews in the can for a while,interview
175,"Harris has a longer political career than Trump, no?",harris longer political career trump
176,She ?? She won&#39;t win.  She&#39;s even poor than Biden 😢,win even poor biden
177,Anyone would be better than Trump,anyone would better trump
178,"Had a better shot with Biden. More annoying than Hillary Clinton, and Hillary had a far better chance at winning than harris.",better shot biden annoying hillary clinton hillary far better chance winning harris
179,"Dems going to hype her up so much. &amp; It&#39;s going to be a crushing defeat just like what happened to Hillary. They going to be all over Socal media after she loses, just like they were when Hillary lost.",dems going hype much going crushing defeat happened hillary going socal medium loses hillary lost
180,They just want the identity politics votes from women and blacks. Which is IRONIC since they’re the party that “doesn’t see race”,want identity politics vote woman black ironic since party see race
181,TRUMP 2024!!!,trump
182,Come on trump. From the uk 🇬🇧  come on donald. For the people for the world,come trump uk come donald people world
183,Vote RED!! I’m voting for TRUMP 2024 🇺🇸🇺🇸🇺🇸 From a California Republican.,vote red voting trump california republican
184,Our border czar😅😅😅,border czar
185,All trump has to do is just show her cackling on all issues in tv ads,trump show cackling issue tv ad
186,"Kamala Harris has absolutely NO CHANCE to win, anyone else has a better chance to beat Trump",kamala harris absolutely chance win anyone else better chance beat trump
187,"Everyone loved Joe but I’m sensing some big, new motivation from Democrats after the announcement. Some fresh enthusiasm. Have y’all seen the new Times cover? It’s excellent in putting Kamala is a good spotlight.",everyone loved joe sensing big new motivation democrat announcement fresh enthusiasm seen new time cover excellent putting kamala good spotlight
188,"Much easier victory for Trump! This is still a man&#39;s world and I doubt a woman president is about to happen. Women are divided on many of the issues. Young people do not care to vote at all because they know the game. If she wins it will be just like Obama just because she is black! Her positives are she is at least younger than both, and a strong debater.  Obama&#39;s path was easy because it was something truly different and blacks knew there was only one shot at making it happen so the fact he was cool and smooth and looked like them was just icing so to speak so they voted solely on emotion. Not the same deal today. I say Trump has this election victory coming and all will just have to adjust to it. I do not care either way at this point!",much easier victory trump still man world doubt woman president happen woman divided many issue young people care vote know game win obama black positive least younger strong debater obamas path easy something truly different black knew one shot making happen fact cool smooth looked icing speak voted solely emotion deal today say trump election victory coming adjust care either way point
189,Weaker,weaker
190,i&#39;m all up for Kamala Harris running for office.  She&#39;s definitely got my vote.  Plus I so wanna see the first female POTUS.,kamala harris running office definitely got vote plus want see first female potus
191,"Kamala who? It&#39;s about time she did something during this 4 year term... Cackling Kamala lacks the intellect to take on Donald Trump. Good luck Kamala, your going to need it...",kamala time something year term cackling kamala lack intellect take donald trump good luck kamala going need
192,Raegan would never. Alzheimers and all,raegan would never alzheimers
193,Trump 2025🎉,trump
194,Give me a break.....Kamala can&#39;t beat TRUMP!!!! That&#39;s hilarious 🤣🤣🤣🤣🤣🤣,give breakkamala not beat trump hilarious
195,A stronger candidate than Biden?<br>😂😂😂<br>They&#39;re both a joke,stronger candidate bidenthey joke
196,She can’t and won’t win.,not win
197,"Lets see how all feel about what she did at border which is nothing at all. This administration did poorly on border with 10M illegals coming in, &amp; Biden did an EO not to long ago giving Million amnesty wonder how many Dems will let a bunch of them come live with them for a while, take care of their every need out of their pocket",let u see feel border nothing administration poorly border illegals coming biden eo long ago giving million amnesty wonder many dems let bunch come live take care every need pocket
198,Nobody can beat Trump😊,nobody beat trump
199,It was nightmare to have Biden as a president. We don&#39;t have another nightmare to have Harris as a president.,nightmare biden president another nightmare harris president
200,She is not African American. WJS stop running with that. She has never said she was African American. She speaks about her Indian side. This is what people like to do with words. switch them around to trick the masses. This woman is not African American. Words matter and their are people out there like myself who care about how the context of words are use and the manner they are used to attempt to trick and deceive people. Wake up people and listen to what people are saying as well as their actions.,african american wjs stop running never said african american speaks indian side people word switch around trick mass woman african american word matter people care context word use manner used attempt trick deceive people wake people listen people saying well action
201,"Kamala Harris definitely has the advantage in this.  She can appeal to women and LGTBQ+.  Her ethnic background will also motivate black, white, indian, pacific islanders, and rally voters with with a carribean background.  Losing Joe will be a big blow however as he was well connected with Irish, Bloods, Crips, Italian, and Polish Americans due to his upbringing in those predominant neighborhoods.  He has a close relationship with southern Baptists due to the numerous services he attended.  This is very concerning on who the next VP could be.",kamala harris definitely advantage appeal woman lgtbq ethnic background also motivate black white indian pacific islander rally voter carribean background losing joe big blow however well connected irish blood crips italian polish american due upbringing predominant neighborhood close relationship southern baptist due numerous service attended concerning next vp could
202,Here they go again!,go
203,🇺🇲 TRUMP will MAGA 🇺🇲 NO WAY will AMERICA want another 4 years of what we&#39;ve already been through with this party. Democrats are for themselves only. Republicans are united and want the AMERICAN DREAM. TRUMP WILL MAKE SURE ALL AMERICANS HAVE THAT DREAM AGAIN.  MAGA= M ake  A merica  G reat  A gain. Trump is for the PEOPLE and our great country FIRST,trump maga way america want another year already party democrat republican united want american dream trump make sure american dream maga ake merica g reat gain trump people great country first
204,Dream on!!,dream
205,I don&#39;t trust anything the WSJ prints anymore since Rupert.,trust anything wsj print anymore since rupert
206,"Trumps got this, but only if we all still get out there and vote to make it too big to rig! So when you go, take your fam, friends, coworkers and go vote for Trump/Vance 2024 like your life depends on it.....cause it does!",trump got still get vote make big rig go take fam friend coworkers go vote trumpvance life depends itbecause
207,For those who value time<br>Short answer: no,value timeshort answer
208,Kamala was polling at 2% in 2020. What?,kamala polling
209,Trump is now a shoe-in to win this November.,trump shoein win november
210,jkajajajaja kamala? jajaja,jkajajajaja kamala jajaja
211,Kamala knows fuckall. Trump is back in the house again,kamala know fuckall trump back house
212,"É assim que faz política. O show de democracia. Obrigada Deus Pai, todo poderoso. Amém.",e assim que faz politica show de democracia obrigada deus pai todo poderoso amem
213,Kamala harris talking about “character”  is knee slapping funny.,kamala harris talking character knee slapping funny
214,It&#39;s ridiculous to suggest Kamala is Obama. Not even close. The charisma doesn&#39;t compare.,ridiculous suggest kamala obama even close charisma compare
