Comment Number,Comment Content,Processed comments
99,Watching two guys on the verge of their deathbed.. this is a comedy. Fall of our government began in last election and will continue with this election,watching two guy verge deathbed comedy fall government began last election continue election
100,Haven’t even watched it yet and I’m waiting to find out what YouTube edited out,not even watched yet waiting find youtube edited
101,This debate has me stresssed 😩,debate stresssed
102,Biden should retire and do asmr<br>Trump just need to stop trying,biden retire asmrtrump need stop trying
103,They are so ooold...,ooold
104,&quot;There is no studio audience tonight&quot;<br><br>Biden walks out and starts waving and saying &quot;Hello&quot; to the Non Existent Audience.,studio audience tonightbiden walk start waving saying hello non existent audience
105,They raised my house taxes by three times.,raised house tax three time
106,If I had to choose I would vote trump,choose would vote trump
107,Joe “The Idea” Biden,joe idea biden
108,I can see the passion in Trump and how he speaks. His very soul is furious and for a REASON.,see passion trump speaks soul furious reason
109,Titan is dumping garbage on us in the skies. The snow is not snow. It&#39;s pellets of some kind of plastic. The They create in the storms they create with their mission. They&#39;ve got running. it&#39;s horrible.,titan dumping garbage u sky snow not snow pellet kind plastic create storm create mission got running horrible
110,joey is dust,joey dust
111,The Democrats hired midnight guys to pull along and start wildfires. You can see the. videos on Youtube people posted it. They saw it democratic people. are paid to start wildfires.,democrat hired midnight guy pull along start wildfire see video youtube people posted saw democratic people paid start wildfire
112,"don&#39;t tell me I&#39;m the only one hearing that or my ears are failing me <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4583"">1:16:23</a>",not tell one hearing ear failing
113,"No me imagino escuchar a trump otros 4 años, primero que vaya a cumplir sus escandalos como ciudadano, este hombre es el peor , racista, no queremos esto!!!!",imagino escuchar trump otros ano primero que vaya cumplir sus escandalos como ciudadano este hombre e el peor racista queremos esto
114,Only a Real American can Save America.,real american save america
115,We are all cooked.,cooked
116,any other options?,option
117,Take a shot every time Biden says “number 1”,take shot every time biden say number
118,"The tax credit that he&#39;s talking about, they took it from the seller, they took. it took it from the amount the seller got. He didn&#39;t pay nothing. They didn&#39;t give nothing. My daughter sold her house. Two new buyers. And they took $11,000 of her money out of her asking price.",tax credit talking took seller took took amount seller got not pay nothing not give nothing daughter sold house two new buyer took money asking price
119,If Biden was X-MAN his super power would be: no one could understand him nevermind how long he speaks.,biden xman super power would one could understand nevermind long speaks
120,Correct me if im wrong..but did they say there was no audience ...then Biden walked out raising his hand as if there there were an audience...or was that for the viewers...🤔🤔🤔,correct wrongbut say audience biden walked raising hand audienceor viewer
121,Interesting .... 🎉,interesting
122,Demented Trump: A Palestinian child’s shoes are more precious than yours,demented trump palestinian child shoe precious
124,No studio audiencr.,studio audiencr
125,Sleepy joe said I skibidi with,sleepy joe said skibidi
126,Most of those ppl support trump😂😂😂,people support trump
127,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1777"">29:37</a> somebody walks in front of bidens camera",somebody walk front bidens camera
128,I just bought 13 essential items from the grocery store and it cost me $84. How on earth does our government consider that “only a 20%” increase. This is more like a 100% increase!,bought essential item grocery store cost earth government consider increase like increase
129,"YEA, BIDEN IS IN A &#39; CUSTARDS LAST STAND SITIUATION, AND YET, HE WONT APOLOGIZE TO ANYONE ABOUT ANYTHING.....",yea biden custard last stand sitiuation yet not apologize anyone anything
130,did he ever answer the question about deportation or did he evade it,ever answer question deportation evade
131,FJB / DEMOCRAT.   they destroy our country Biden is a liar he said to the American people under his leadership no troops have lost  what is really sad he does not remember or Honor the 13 brave soldiers who lost their lives in Afghanistan and also left American Citizens behind,fjb democrat destroy country biden liar said american people leadership troop lost really sad not remember honor brave soldier lost life afghanistan also left american citizen behind
132,"WHATS GOING ON IN THE WHITE HOUSE, ALOT OF DEODERIZER, I FEEL SORRY FOR HIS WIFE !!",going white house alot deoderizer feel sorry wife
133,biden need help call zelenskyy..,biden need help call zelenskyy
134,"BIDEN&#39;S FAMOUS LINE, &quot;&quot; I DON&#39;T CARE IF YOU THINK I&#39;M SATAN REINCARNATED...&quot;&quot;",bidens famous line not care think satan reincarnated
135,It’s like talking to my grandmother with dementia. No idea what he is even trying to say. Put Biden in a home and make sure he’s looked after. At this point this is elder abuse and the people forcing him to run should be in prison,like talking grandmother dementia idea even trying say put biden home make sure looked point elder abuse people forcing run prison
136,"OH BIDEN TALKS ABOUT, &quot; CHILD CARE&quot; AS ILL-LEAGALS GET FREE MEDICARE, SOCIAL SECURITY, FOOD DEBIT CARDS, HOUSING, MEDICAL, TRANSPORTATION, MILLIONS, AND ALLOWED TO BUY FIRE ARMS, AND PACKING IN DANGEROUS DRUGS, ETC.....",oh biden talk child care illleagals get free medicare social security food debit card housing medical transportation million allowed buy fire arm packing dangerous drug etc
137,Biden🤡🤡🤡,biden
138,&quot;I Have the beginning of 46 thoughts&quot;<br><br>-biden jim carrey,beginning thoughtsbiden jim carrey
139,Is anyone really supprised? Biden is suffering either from old age or dementia. Either way he’s got to go. Trump Train,anyone really supprised biden suffering either old age dementia either way got go trump train
140,In PA all the new workers are imagrants they where approved for work visa.,pa new worker imagrants approved work visa
141,Q: WOULD ANYONE TRUST BIDEN TO DRIVE A SCHOOL BUS ?,q would anyone trust biden drive school bus
142,This is actually a comedy,actually comedy
143,America&#39;s got a problem,america got problem
144,Nancy didn&#39;t think trump was that dumb to send the crowd,nancy not think trump dumb send crowd
145,The jar building works trumps if you remember Trump was trying to dig this out and started creating the jobs. All the first stuff that was done when Biden got in was from contracts that Trump did.,jar building work trump remember trump trying dig started creating job first stuff done biden got contract trump
146,Exactly the same immigration situation as the UK. Something is definitely going on. It&#39;s literally identical.,exactly immigration situation uk something definitely going literally identical
147,The didn’t even answer the child care question…,not even answer child care question
148,trump 2024,trump
149,"Fast forward to the august  conference ..Jill ....&#39;&#39;delegates, your choice is non negotiable and final.Joe remains the candidate and we loose in a landslide and you spend the resyt iof yiour days in folsom , or I am the candidate ...we win with  a landslide  . We keep the WH  , you keep your jobs and I become the most succesful president this counttry  has ever had !  And thank your lucky stars ! &#39;&#39;",fast forward august conference jill delegate choice non negotiable finaljoe remains candidate loose landslide spend resyt iof yiour day folsom candidate win landslide keep wh keep job become succesful president counttry ever thank lucky star
150,"If Biden wins again, the election is 100 per cent rigged. Im pretty sure the last one was to be honest.",biden win election per cent rigged pretty sure last one honest
151,Joe Biden for President,joe biden president
152,Is there no better candidate apart from Trump and Biden? It will be much better to engage young-minded youths in politics. 30 -60 years of age.,better candidate apart trump biden much better engage youngminded youth politics year age
153,I felt like Adam Sandler was was going to take the stage and say. &quot; Welcome to another Saturday Night alive!&quot;,felt like adam sandler going take stage say welcome another saturday night alive
154,"The biggest thing to understand from this is that this is not a Biden issue. It is the entire Democrat party. After all, they are clearly the ones that have been driving this. Entire term into the ground. It&#39;s painfully obvious that biden is not in the driver seat. They are also the ones that have been lying to you about this man&#39;s mental. Fitness. And they are still lying to us. Don&#39;t be stupid enough to think that You can vote for a better democrat.",biggest thing understand not biden issue entire democrat party clearly one driving entire term ground painfully obvious biden not driver seat also one lying man mental fitness still lying u not stupid enough think vote better democrat
155,Does Biden starma?,biden starma
156,Obama Bin Biden,obama bin biden
157,"I have never seen an old man that&#39;s so good at lying, why is everybody only talking about October the 7th,why can&#39;t people talk about what led to October the 7th",never seen old man good lying everybody talking october thwhy not people talk led october th
158,Americans help us vote Trump again,american help u vote trump
159,On president Biden first election I bet he will win and only a one time president! He should allow another Democrat run with Trump ! Otherwise! Sad😊,president biden first election bet win one time president allow another democrat run trump otherwise sad
160,"Biden walks out on stage, because of how used to giving speeches in n company of his close yes man circle he walks onto the stage hearing a roaring crowd chanting <br><br> Crowd- “4 more years, 4 more years” <br><br>Biden waves at the moderators and the crowd. The lights stop him from seeing the waves of people that aren’t actually present because he forgot there was no audience. <br><br><br> Biden- “thank you thank YOU”<br><br>As if he was capping off the audience volume. <br><br>If you watch his speeches you’ll notice the same Means of capping off the audience for a quick rebuttal. <br><br>Biden actually said even more but they cut off his mic",biden walk stage used giving speech n company close yes man circle walk onto stage hearing roaring crowd chanting crowd year year biden wave moderator crowd light stop seeing wave people not actually present forgot audience biden thank thank youas capping audience volume watch speech notice mean capping audience quick rebuttal biden actually said even cut mic
161,I didn&#39;t like trump that much but I&#39;d rather vote for him than biden that much,not like trump much would rather vote biden much
162,"&quot;They&#39;re doing more for veterans than ever before,&quot; Biden says. I&#39;m sorry, but with what staff? The ones you pushed out with vaccine mandates before deciding to not require shots after all? The ones who jumped ship to other hospitals when the VA couldn&#39;t match the pay increases everyone else offered to keep up with the inflation your administration caused? The VA I&#39;m in touch with had to cut back on the total number of beds they could fill because they don&#39;t have enough nurses to tend to a full building. A vet that I knew was unable to get admitted for in-patient hospice because the wait list for a bed was just too long.",veteran ever biden say sorry staff one pushed vaccine mandate deciding not require shot one jumped ship hospital va could not match pay increase everyone else offered keep inflation administration caused va touch cut back total number bed could fill not enough nurse tend full building vet knew unable get admitted inpatient hospice wait list bed long
163,"Interest rates are up, inflation is up, and pay and jobs are down. Thanks Biden. <br>Trump 2024💯",interest rate inflation pay job thanks biden trump
164,Both of definitely r definitely evils😂🎉😢😮😅😊666😊😅😮😢🎉😂,definitely r definitely evil
165,The latino never get anything on social ..we paid taxes...we come to work,latino never get anything social paid taxeswe come work
166,"Leslie Knope, we need you!",leslie knope need
167,Trump must win.,trump must win
168,U gotta admit that u can see political foreign leaders respect trump more than Biden! He’s made America look weak!,got admit see political foreign leader respect trump biden made america look weak
169,Like grade schoolers when they cry about the other kid took their crayon. Grow up work together. Yall spend all that energy focused against each other. There is no One person that could save us to be Frank so have one person  AS A leader is just GREED,like grade schoolers cry kid took crayon grow work together spend energy focused one person could save u frank one person leader greed
170,Let’s elect both of them. Maybe they’ll become friends and make peace in United States 🇺🇸 😊,let u elect maybe become friend make peace united state
171,"If I have to hear &quot;we&#39;re in a position where&quot;, or &quot;the idea that&quot; one more time...",hear position idea one time
172,"Joe FYI This country is already bankrupt. Your reckless spending doesn&#39;t help the USA at all. Look at the National Debt Joe and its crazy interest every minute that goes by. I am wondering if you ever took a college course in Economics. But if you did, you forgot all the basics. Yoru idea that Tax and Spend, illegal immigration, your continual 6 working hours a day, and continual vacations tells the American people you just don&#39;t care about us.",joe fyi country already bankrupt reckless spending not help usa look national debt joe crazy interest every minute go wondering ever took college course economics forgot basic yoru idea tax spend illegal immigration continual working hour day continual vacation tell american people not care u
173,We want Imran Khan Vs Nawaz sharif  Debate like this 😅,want imran khan v nawaz sharif debate like
174,I’m middle class and i never felt devastated until Biden came into presidency,middle class never felt devastated biden came presidency
175,he got out of  Afghanistan like a headless chicken  🤣🤣,got afghanistan like headless chicken
176,Biden moves like I do in my dreams when I&#39;m trying to punch something or run fast.,biden move like dream trying punch something run fast
177,As a none american .. americans should listen to the whole world..as an asian my country might be against  or with  US ..but as a friend or a foe you guys need a real leader  and here its clearly Donald Trump ..  i feel  dissapointed disgusted .. as if like im playing chess and my opponent (joe) keeps blundering 😢😢,none american american listen whole worldas asian country might u friend foe guy need real leader clearly donald trump feel dissapointed disgusted like playing chess opponent joe keep blundering
178,look like a sport event with the introduction. Seen like we all in this for entertainment,look like sport event introduction seen like entertainment
179,Xochitl Biden,xochitl biden
180,He did not answer the question..if he will déport every body...trump...will leave california..like florida...latino people...we do tje hard jobs.,not answer questionif deport every bodytrumpwill leave californialike floridalatino peoplewe tje hard job
181,&quot;And the idea that...&quot;😂😂😂,idea
182,My vote is going to President Donald J Trump regardless of what happens.,vote going president donald j trump regardless happens
183,Biden is me trying to hit the word count on a assignment at 11:59pm,biden trying hit word count assignment pm
184,Seeing this debate it just makes me sad that Biden really doesn’t know what he’s doing it’s just sad,seeing debate make sad biden really not know sad
185,Anyone know how many times Biden said “period”.,anyone know many time biden said period
186,"CNN: &quot; Well what can one say, <br><br><br><br> its unfortunate how debatable truth and facts are. &quot;",cnn well one say unfortunate debatable truth fact
187,So hes bringing new oppportuninties to new people  anwyawy trump is more human and ur failing at that 😢 😅 😂 wtv dude who cares,he bringing new oppportuninties new people anwyawy trump human failing wtv dude care
188,Trump will win people bit he will take us to ww3,trump win people bit take u ww
189,But new people will come with trump,new people come trump
190,"“You called my son a loser AND a sucker. Well he’s not, you’re the loser and sucker😒” <br><br> “That’s not true you made that up and you should apologize to me right now.  ”<br><br>Wow just wow",called son loser sucker well not loser sucker not true made apologize right wow wow
191,U should change more nubba,change nubba
192,U should change more ur making same expressions as hillary,change making expression hillary
193,Niden ur missing trump part redness,niden missing trump part redness
194,Just 4more years,year
195,"But if biden would win, we would be living better",biden would win would living better
196,"Summary of the debate between two candidate presidents of the world&#39;s super power:<br><br>Trump: You are the worst president in the history of the US.<br>Biden: No, you are the worst, I am the best.<br>Trump: No, I am the best, you are the worst.<br>Biden: The IDEA...that I am the worst is outrageous - number 1. Number 2, you are the worst.<br>Trump: You are the worst president in the history....<br><br>And on and on..",summary debate two candidate president world super powertrump worst president history usbiden worst besttrump best worstbiden ideathat worst outrageous number number worsttrump worst president historyand
197,Biden lost bcuz hes missing trumps part. Too baaaadd,biden lost bcuz he missing trump part baaaadd
198,At this point feeding Joe to Trump is just straight up disrespect to Trump.. ..come on mann ... Give Trump an atleast half Joe&#39;s age person,point feeding joe trump straight disrespect trump come mann give trump atleast half joes age person
199,Biden talking about protecting seniors while he lets his handlers drug him and prop him up on the world stage to make a fool of himself is not only rich but sadly ironic.,biden talking protecting senior let u handler drug prop world stage make fool not rich sadly ironic
200,All u guys go vote for trump,guy go vote trump
201,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2562"">42:42</a> wow dude as if you reallly care",wow dude reallly care
202,The capitol riot for example was such a dodge by trump,capitol riot example dodge trump
203,Thank god i live in Europa,thank god live europa
204,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=5045"">1:24:05</a> he’s lying he’s not a 6 handicap",lying not handicap
205,"Why do we want a president that can’t stop with the cursing. I can’t believe that Joe Biden goes on National TV and forgets what he’s saying. Why would we want a president that is so far away from God! Please don’t re-elect this man, that is willing to let the killing of innocent children go on.",want president not stop cursing not believe joe biden go national tv forgets saying would want president far away god please not reelect man willing let killing innocent child go
207,"Being a Swede, I could answer the very first question about the economy easily. None of them answered the question. They started pissing on each other from the 1st second. Why can&#39;t they just focus on the questions? Well, my question is rhetoric. We know the answer. It saddens me to see the US falling like this.",swede could answer first question economy easily none answered question started pissing st second not focus question well question rhetoric know answer saddens see u falling like
208,God Bless America! Go President Biden  Take your time and Keep your cool ! # America Wins!❤❤❤,god bless america go president biden take time keep cool america win
209,Bidens response at the first immigration sentence really knocked me out 😅 what was that even 😂,bidens response first immigration sentence really knocked even
210,Trump cooked biden,trump cooked biden
211,Messi 🐐,messi
212,Nice trailer for This Is America 2 by Sasha Baron Cohen.,nice trailer america sasha baron cohen
213,Ya&#39;ll leave Joe alone! He&#39;s doing a great job getting Donald Trump re-elected!,yall leave joe alone great job getting donald trump reelected
214,"Rules of debate were made to disadvantage Trump,but was advantage to him😂😂😂",rule debate made disadvantage trumpbut advantage
215,"My favorite part was when CNN bragged about how they were gonna fact check the debate, and then proceeded to not once fact check the debate.",favorite part cnn bragged going fact check debate proceeded not fact check debate
216,Is this America or some Irish funny prime time comedy show Mrs brown 😂😂😂😂,america irish funny prime time comedy show mr brown
217,Run Biden RUN,run biden run
218,Trump did a great job. Kudos,trump great job kudos
219,biden is not fit for us president. love for trump from India,biden not fit u president love trump india
