Comment Number,Comment Content
35,Who decided to put these people in hotels they have done the same here in the uk
36,Both my parents are 85 and are fully active and alert. Biden should be in an assisted living retirement home
37,Biden looks like he is a zombie 85% dead
38,"Ain&#39;t it interesting that independent youtubers can give time stamps throughout their hours long videos so that their viewers could search for the information they want quickly and easily. But CNN a GIANT TV network and production studio or The Wall Street Journal, cannot? Interesting, almost like they don&#39;t really care to inform."
39,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2710"">45:10</a> <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1918"">31:58</a>😭😭"
40,"Biden is just making like ,the lender&#39;s in 18 centuries, they are  just spending  their resources ,to satisfy others  ,we expect united state  should be nutrial  to put stability alover the world, not to support war,so u s be careful 😊😊😊😊"
41,"Kamala would be worse, can’t wait for the cackling Kamala debate."
42,Where was Sloppy Joe during palestine  ohio?
43,when Bythen gets a surprisd look on his face like he farted
44,If bythen wins the election the USA will  be nomore
45,Crime rate came up like 40+%since 2020
46,Trump: Snowflake<br>Biden Angry without any eyebrows
47,"Just like 2020, regardless of what the media tries to say, we all know Trump won."
48,trump took him out... of the presidency after this
49,I hate both of them
50,My pears 🍐 🍐 got tears after watching this<br>Anyways Trump will win
51,"Its really sad to see a Commander in Chief look like he&#39;s behind a 🍋 aid stand.  And after 5 grueling hours, he&#39;s still waiting to sell his first cup of lemonade 🍋.  The crazy thing is that he&#39;s selling it for only a penny, and nobody wants it. Oh wait.... Maybe it&#39;s not lemonade......itssss DE-PENDS 😮"
52,😅he is a lier
53,She’s a continuous failure for Obama
54,TRUMP 2024  🦅🇺🇸🗽
55,Why have comments section when YouTube suppress them. What a joke
56,Biden is such a bad present<br>😊😊
57,"“The idea” 25 times<br>“By the way” 18 times<br>“Number one, number two” 15 times<br>“In a situation where” 15 times<br>“In fact” 11 times<br><br>Honourable mentions:<br>“The fact of the matter is” 4 times<br>“Simply not true” 3 times<br>“Relative to” 3 times"
58,"This was the worst thing to happen to Trump.  Yes Trump did win the battle, but he lost the war.  Biden drops out and then the Democrats quickly unite around Kamala Harris.  The energy is as big as I ever seen it since Obama ran in 2008.  Trump is just flailing around and wants Biden back like a drug because now Harris is leading in a lot of polls.  She&#39;s going into the convention and whatever convention poll bounce she gets is going to be big.  The Harris campaign has a better ground game even though her campaign for presidency started a month ago.  THIS may the turn point in the US election."
59,Daddy Biden needs to give us money
60,Classic Trump destruction of Sleepy Joe 😢
61,I need ssi for menal heath issues yes help take that back help me please im on appeal process
62,Trup you good
63,Trupm you got him beat hou got my vote
64,"@<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1217"">20:17</a> Dana Bash gives directions"
65,The idea
66,Watching Biden speak is like watching a train wreck.
67,Neither of them answered the question on child care expenses!!!!
68,biden is running out of breath....
69,Joe you making us fail as a country and Harris she would end America
70,BIDEN JUST SAID HE BOUGHT OFF A LOT OF PEOPLE............
71,"As a European its odd to hear debates that is more about trashtalking instead of saying what you want to do with the taxmoney, and show this in figures how you will be able to do this within the budget you have. Its like a freakshow and its not mature in any way shape or form🙏"
72,Trump is like Lincoln <br>Lincoln’s predessor was the worst. Trumps predessor is Biden
73,"Where I live, every one got fired at Tyson so they could hire illegals"
74,"Honestly it all was going well until Joe Biden put his sentence&#39;s into number&#39;s again, I&#39;m like why?, It&#39;s just because Joe Biden cant keep up with the common knowledge is for why I&#39;m annoyed of and afraid of, That&#39;s why id like for Trump to win because, he at least make&#39;s sense. and that Trump will make better decision&#39;s than Joe Biden has."
75,Not gon lie trump makes good points and speaks with his own mind Biden seems like a hostage trump seems like he plays the game we can’t expect them to be honest
76,8:58 am
77,Everyone is equal duck rules
78,Audience is a bad response
79,They gave joe too much drugs .
80,This debate actually has so much repeat value. More then any shows atm
81,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=180"">3:00</a>"
82,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=180"">3:00</a>"
83,Who’s here in August 2024
84,“Putin wants to remake the Soviet empire” Joe Biden
85,"He fired you, djt, when he beat you in the election. Now Vice President Harris the one that will win for the country. Rest easy, President Biden. Your legacy will live on."
86,Hahahaha 😂❤
87,The Founders never thought a convicted felon would run in a presidential race.
88,"Everything about this event is bizarre. Not just the words coming out of their mouths but the entire setup of the event in general. It&#39;s basically like a boxing pissing match between two old men that won&#39;t accept either ones ideas. This is insanity. Idiocracy but worse, this is like a bad theatre play or something."
89,Joe Biden got slaughtered!!!!
90,100% Trump deserves to win ❤❤❤
91,Let’s gooooo trump🎉🎉2024 Make America great again ❤️❤️❤️
92,Biden Biden Biden!
93,Trump the best president for the USA. He wants to make America great again. Nothing wrong with that!
94,I&#39;ll tell you something: as a french person seeing that debate from far... I can tell you Trump is actually very kind to Biden. He could have attacked him many times about his cognitive capacity from the very beginning of the debate but the only attacks are about politics. I actually think he&#39;s nice to him.<br><br>This is not even a debate... Trump wins that&#39;s all. As a right wing person I do think the United States does need him at the office. Clearly.
95,JOE JOE JOE JOE! JOE IS FOR THE SMALL GUYS!
96,This is a joke right? 😂<br>This is the leader of our country?!?!
97,"‏‪<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1295"">21:35</a>‬‏ When trump said &quot; I don&#39;t know if he knows what did he say either&quot;<br>Biden: Why did you 😨😨💀"
98,"Imagine: This debate went so badly, Democrats tried to kill Trump the week after! They are severely afraid they&#39;re going to lose!"
99,Joes debate is saturated at the Poplar Bluff VA next to Dollar Generals wooden boxes of Nate&#39;s Toyotas Factory. Parked on the blue seat. Can&#39;t miss the box.
100,"Trump pooped himself at <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4585"">1:16:25</a> 😂🤣😂🤣"
101,I am indian Astrologer and announced that Doland Trump is next US president 2024 . My YouTube channel have many future prediction on indian politics election results become true always
102,No.. pagaron..ami
103,The fact that Biden supports Israel means he has secured His Win
104,"As an English person, I’m so so sorry for your loss"
105,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4952"">1:22:32</a> Trump Roasting Biden..Classic!"
106,Im really confused with the closing...🤔 <br>Go TRUMP!!
107,"Im proud of Joe, he managed to stay awake for the whole thing 😉 good work Joe, take your bow 😂"
108,❤❤One thing about Inflation.  🎉 not a bad thing😮😮❤BEST DIET IN The World!!!🎉😂
109,Where he knows hệ should give up
110,Number 1……Number 2 !
111,Im from France I can tell Biden needs to go 😂 I like the vision of Donald Trump but I can’t tell if he’s acting a lot or a lil
112,"Dana Bash looks like their is blood in the water at <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=165"">2:45</a>,  DNC planned it this way, President  Biden low energy.😮 D. Trump looked focused. No question to who had won. Trump 2024 !"
113,Vote Trump. We are in debt because BIDEN wants to jump into wars with Israel 🤦🏾‍♀️.Open your eyes that&#39;s why we can&#39;t get 2-3 dollar gas because we&#39;re paying taxes so he can just give our money away. Trump 2024
114,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=720"">12:00</a> BIDEN:......loading.....If.....still loading.........ww finally beat Medicare 😴😴<br>TRUMP: well he right he beat to death 😅😅😅😅"
115,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4580"">1:16:20</a> Was... was that a shart?!"
116,Question they might have asked trmp:<br>&quot;Do you know the difference between right and wrong?&quot;
117,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1025"">17:05</a>  Dana Bash prevents 3 Biden knock down rule"
118,Trump vs kamala next .... she will look like joe after trumps hit her with the facts 😂😂😂
119,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1345"">22:25</a> did trump just call him Brandon 😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
120,Biden sounds like Newton from Hercules 60s cartoon.  Repeats words/phrases.  Straight Outta Newton
121,"Trump throughout the debate: &#39;:)<br>Biden throughout the debate: :()"
122,"The European countries around Ukraine are in huge financial crisis and are spending too much money on a war that has absolutely nothing to do with us, but it has a lot to do with you Americans.<br>You&#39;re just playing us all for a fool and using us for your own agendas and interests."
123,Holy shi Joe is gone.... can barely follow what this mouthpiece says.;
124,The idea...
125,"Government Accounts for Nearly 25 Percent of All Job Gains in 2023. The total job gains up to November 2023 was 2.552 million. Government jobs account for 636,000 of them (24.92%). Government-funded jobs are not indicators of growth and certainly not an accomplishment: Quite the opposite! Government positions only exist as the result of wealth transferred from the private sector to the government sector. A staggering 636,000 of these jobs were included to subsidize and obscure the actual job growth numbers."
126,"Trump wishes he still had Biden to pick on. He has no answer for Kamala/Walz. Trump is in trouble right now and he knows it. Hes still bringing up Biden in his rallies, he wants Biden back!"
127,Biden- the idea that  1.<br>                                     2.
128,STOP THE GENOCIDE 🇵🇸🇵🇸🇵🇸
129,FREE FREE PALESTINE 🇵🇸 END THE OCCUPATION NOW 🇵🇸
130,From the river to the sea PALESTINE Will be free from isnotreal 🇵🇸🍉🫒❤️‍🩹
131,No wonder Kamala is hiding from interviews and debates. She saw her boss get KO&#39;d after one debate with Trump.
132,Americans also an immigrants. Are&#39;nt you learn a true history and facts in your school?
133,C omunist <br>N etwork <br>N ews
134,Joebiden 47th president congratulations 🎉
135,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1501"">25:01</a>. Let’s not forget Biden called them Stupid Bastards. The military suffered so much for the past  3 years under this guy."
136,🇺🇸✌️ Debate Kennedy ✌️🇺🇸
137,Biden is lying about the Jan 6th rioters killing anybody. Ashli Babbitt was killed by a cop and Brian Sicknik had died a day after from natural causes. Why lie?
138,&quot;Make America Great Again&quot; Ronald Reagan
139,&gt;has one bad debate performance <br><br>&gt;drops out
140,Trump is not worthy for this debate and also for winning American presidential election
141,De bout granmoun rèk😂
142,❤
143,Term limits for all
144,Joe knows he messed it up for the American people. He knows
145,"All the things Trump said Biden would do, he did. Biden, you’re fired."
146,"BIDEN HAS GOT TO GO, AND I CANNOT WAIT"
147,How can people say trump is incompetent? Hes smart and quick . Biden is the definition of incompetent
148,If  Biden says “the idea” one more time ……..😡🤮
149,"How can Biden just out and out LIE!?  Does he really think we don’t know what our economy was now and then!!  We lived it!!  Under Biden, we can barely scrape by, sometimes we don’t!!  We lived much much better with Trump!!"
150,For the americans. Iam so sorry.
151,"W Trump<br><br><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>"
152,&quot;UH WEEweewee WITHTHA COVIDD UH SKIBBIMMEE A daily with UH everything we had to do with UHh... LOOK.... if we finally beat medicare&quot; - Joe Biden
153,Never seen a TKO at a presidential debate before!
154,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=452"">7:32</a>"
155,I think this was better then watching jordans last NBA match vs Malone!!!!---We are doommed!!!!!
156,lady host rude to biden and bidens face is clasiic!! TRUMP is the stron g man here
157,"I love how Biden looks so disappointed at <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=147"">2:27</a> once he hears that Trump is arriving."
158,triden canon ❤❤
159,If you write it out and filter out the hesitations it&#39;s not that bad. Talking to a constant liar is kind of hard. Having said that Trump had indeed had a more clear way of talking. He was above his average in appearance and Biden much below.
160,Elder abuse smh
161,Trump is 😂😂😂😂😂😂😂😂😂 ... respect Trump <br>... The father of Americans
162,A surprise facial expression of Biden
163,🪨🪨🪨🪨🪨🪨🪨🪨🪨🪨🪨🪨🪨won president
164,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1002"">16:42</a> what?"
165,"“If I am elected I am going to reinstate Roe v Wade” <br>Dude, you have been a president for 4 years already 😂😂😂😂"
166,The best comedy after Sasha Cohen 😂<br>Thank you USA 😂
167,Donald Trump lies about everything
168,Ja morron säga det om man jämför you Biden så I love you erer erfarenhet i alla fall fast fyra år till hade väl blivit för mycket men Camilla Harris hon har ju inte så mycket erfarenhet som kör ung Järn för med någon presidenter som USA har haft det har ju varit äldre män Jag har nog ingen emot en kvinnlig heller 07
169,AMAZING
170,I feel like the average American voter went into this debate ready to make a choice finally...<br><br>They wanted Biden to explain how he had let the country fall into such a bad condition and what his actual plans were to repair it<br><br>Or was ready for Trump to expose himself as a liar or a crazy person as they have been told so many times that he is<br><br><br>Then watched the debate and saw it with their own eyes without the media spin<br><br>Trump continue to have lots of ideas to improve the country and examples of how things were better when he was in office..<br><br>And Biden spent the entire time ignoring and denying how bad things have got or just lying and then made very few sensible ideas to improve the country <br><br>Spent nearly every minute he was given trying to paint Trump as the bad guy<br>And of course sounded senile and nonsensical but whats new there <br><br>Any democrat politicians watching lost all remaining faith in Biden from this debate <br><br>Then when the assassination failed the democrats knew they would lose this election so sneaked in a new candidate <br>Trying to trick the public into voting for a black woman <br>Even though she has a record of voting against everything the majority of voters want and added a woke jewish guy as her vice president who&#39;s main priority is gender surgery for young children and tampons in school boys toilets <br><br>I guess the media and government is so convinced they have the public fooled they don&#39;t even have to pretend to have thier citizens interests at heart anymore <br><br>And somehow there is still people who will say Harris will bring a brighter future even though she has voted against all the things she is now claiming to want to support <br><br>World has gone crazy<br>Please Americans save the western world by voting for a strong leader to inspire all the west <br>Not another woke globalists puppet to ruin all our children&#39;s future
171,Vad beträffar abort så tycker jag jag att omständigheterna om kvinnan har blivit våldtagen eller incest mera med mera så är det kvinnan som ska avgöra om hon vill göra abort eller inte inte någon doktor så har jag i Sverige för att jag hade hade fria bort beträffande gränserna så går det inte att ha fria gränser att folk kan komma hur som helst det har vi det är samma Sverige och med flera identiteter så det är en . Sedan var det beträffar gränserna så har Trump rätt det kan inte vara helt uppe för vem som helst att komma in ja som Trump men man får ju ett arv ifrån den gamla regeringen eller presidenten men det gäller ju åt båda håll 07
172,Trump broke their puppet in this debate that they had to change it last minute. 🤣🤣🤣🤣
173,This didnt age well..... 😂
174,He needed a nap 2 minutes in!
175,“ThE IdEaAaa”
176,Trump was only talking about Biden instead of answering questions. Also why were they fighting about golf
177,Terry Crews finally stopped endorsing Biden.
178,Isaiah Mustafa finally stopped endorsing Trump.
179,hehe zombie-Biden.
180,I can’t hear you joe
181,I’m at the part where you Biden are complaining about Soviet Union let me tell you something we want it back because we had good life we knew where we are staying now we don’t have nothing no freedom no democracy no houses no hope no jobs no education sistem no nothing and I will say like this in Comunism we knew everything we had education houses jobs vacations fk your democracy USA democracy it’s only in Hollywood movies and good life
182,Bifen has no &#39;idea&#39;😂
183,Trump 2024<br>FJB
184,Nah the way they be cutting them off sayin thank you is crazy💀
185,Bro I could never be one of these judges I would be weak asf
186,Trump cooked 🔥🔥🗣️🗣️🔥🔥🔥🗣️🗣️
187,This feels like a horrid nightmare finally receding into the depths from whence it came. The difference one month can make.
188,trump yeah
189,👈 I AM VOTING FOR THIS GUY! I BELIEVE HE&#39;S THE ONE &amp; ONLY LORD GOD REINCARNATED AND I AM VOTING TO SEEK HIS FACE!
190,Biden is the God!
191,Trump debating Biden this early was a mistake. it gave dems a chance to change course if he debated him in September Trump would have easily won
192,When trump says something Biden face “😧😦”
193,"No 1 , No 2 , No 3 “ eeeeawwwsaassaweeehkkkjkkkkgfff” 🫷🏻"
194,As a pakistani i was thinking we  just have stupid politicians but haha 😂😂😂
195,"Is this a parody???  I feel so bad for biden, you can just see how hard they attack Trump and how they try to make biden look good…they dont realize this makes Trump look strong and biden look like an old grandpa that is mean but since hes old and your moms dad you have to be respectful."
196,Answer the can questions
197,Biden will definitely perform better in the 2028 debate
198,All Trump can bring up is immigrants...
199,Biden is literally seeking retribution as he is saying no president has ever said they will seek retribution. Insane
200,Embarrassing
201,When is the one with kamala ?
202,😂😂❤❤Mr. Donald Trump did Great!!
203,Trump no
204,Two. E😮y😅es. View
205,Joebiden 4th president congratulations 🎊
206,@Ilonmusk<br>Please do you have rapport from the questions ?<br>Both say the other lie.<br>Then they say then that look for a other President.<br>To much everything is you lie.<br>Then they make theirself out of the game.<br>We need just that when they come that the 2 that makes the questions have the truth on paper.<br>Otherwise is this type of debate useless clown circus show.<br>Be serieus presidents.
207,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1582"">26:22</a> 😂😂😂😂."
208,Truth the whole world is blowing.<br>Biden please stop lying.
209,Joebiden 4th president congratulations 🎉m. Gid
210,Why they speaks and both do not backed up with real rapport??<br>Is sick bla bla bla.<br>This is fish talk.<br>Rapport please.<br>Who to believe?<br>No real rapport at all.<br>Why debate things that they sll do the whole campain??<br>And no true come from this at all.
211,yes 👍👍
212,The Democratic party will exploit poor blacks for votes.
213,Yes. Abortion is wrong. Conservative party wins
214,As a war veteran I say we need Donald Trump back as the president
215,This was a testament to what has become of this country. It’s pathetic
216,Biden describes recent history that Americans have just lived through AND LIES BOLDLY to our faces.
217,I wonder what they did during the break? Phone a friend for a last lifeline?
218,The idea the idea the idea the idea the idea but ..I have no idea
219,First and last. That should be a title.
220,JOE AND HUNTER BIDEN ARE SUPER PREDATORS!!!!
221,Joe Biden is a criminal and this debate is a sham.  TRUMP 2024
222,"Ahh Election Year, my favorite show! Where two angry old people argue like schoolkids. Makes me laugh everytime! XD"
223,Trump 2024.
224,Not them roasting eachothers the entire time 💀
225,"what is Biden zoning out to? keeps looking down and looks like the light are on but no one is home in his head...... now he is MiA?<br>president TRUMP Took a bullet for America and got up like nothing happened!<br> Trump is my vote! and everyone should wake up!<br>are nation is crashing,.. <br>get off your A$$ and do something!<br>vote TRUMP! what more do u need to see or do?<br>your going to wake up on the streets before you know it...<br>TRUMP is doing more then any president ever....<br>the Media is a lie....<br>get off your phone and  stop watching TV getting brainwashed.....<br>MAKE AMERICA GREAT AGAIN!<br>these next months are going to be insane...<br>what else to u need TRUMP to do to MAKE AMERICA GREAT AGAIN?<br>please.... vote.... for... trump!!!!!"
226,🤨😒😏 vs 😦😮😧
227,"From <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=713"">11:53</a> trump reaction was like &quot;is he for real?&quot;"
228,Biden&#39;s Facial Expressions😕😕😕🤨🤨🤨☹☹☹
229,Weekend at Bernie&#39;s.....
230,"&quot;We finally beat medic care&quot;<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>"
231,"Trump just mentioned &quot;why did I even debate Joe? If I avoided it, he would still be running.&quot;"
232,Why does Biden’s voice make me wanna clear my throat?
233,"I love how they keep saying “thank you president Biden” but let trump handle business. lol let me have it weirdos. Get a job cuz “BIDEN” created so many, and stop relying on handouts!!!"
234,Biden is terrified of Trump
235,Now that Biden is out of the race and that entire ordeal is finally over with it’s actually funny when he gets lost and says “look…we finally beat Medicare” in response to a question about the economy 😅.
236,Biden Is Clearly Not Well And Looks Ready To Drop
237,Trump misses Biden sooo much now. I’m sure he’ll invite him golfing after he loses this election
238,Biden is a liar!!
239,"Saying It , then saying I won&#39;t say it, is crazy😂😂😂.."
240,"Every time Biden says &quot;the idea&quot;, I take a shot, now i&#39;m tipsy"
241,"I dont want to laugh 😅when Bidennnn....speaking its not joke even the host if you know how to listen would you elect a president that cant even speak , its true other countries making fun of usa that the president bidennn... cant talk good and walk  good.."
242,"MR. BIDEN WITH ALL THE RESPECT JUST STEP DOWN YOU CANT RUN THE COUNTRY, THIS IS NOT GAME , JUST PLEASE DO IT. ITS ABOUT TIME TO STEP DOWN JUST FOR THE POEPLE ESPECIALLY TO THE YOUNG KIDS THERE FUTURE IS IN HAND OF COUNTRY LEADER"
243,BIDEN...HAS 2 WARS GOING ON NO NEED TO EXPLAIN JUST LISTEN AND LOOK AROUND POEPLE!!!! ITS DOESN&#39;T TAKE A DEGREE TO UNDERSTAND WHAT IS GOING ON. BIDEN ADMINISTRATION FIELD BIG...BIG... TIME...RESIGN TO SAVE AMERICA!!!! HAVE PITY ON THE POEPLE NOT ON YOUR OWN INTEREST AND INTENTIONS
244,Look poeple BIDEN CANT EVEN SPEAK WELL ITS OBVIOUS JUST RESIGN BIDEN YOU CANT RUN THE COUNTRY
245,"YES..TRUMP IS RIGHT,  I DIDNT VOTE BUT NO EXPLANATION CAN EXPLAIN BIDEN IS THE WORST PRESIDENT EVER IN HISTORY ,I CANT EVEN AFFORD TO BUY FOOD!!!"
246,Joe Biden won this debate
247,"I hope Kamala and Trump shake hands before their debate, unlike Biden and Trump. I highly doubt it, but it would be great if we could restore just a bit of unity. God I miss the civilised days of Obama and McCain."
248,"They clearly say that there&#39;s no studio audience but Joe Biden walks out and says, &quot;hi folks how are ya?&quot;"
249,Trump100
250,why did they down play the price of groceries going up it’s something that cost me $174 is now 430
251,Bad audio<br>Make it louder
252,It was hard for Trump to keep a straight face it was easy to read his mind lol
253,lol Trump is so convincing 😂
254,Trump: Ready to Rumble<br><br>Biden: Ready to Mumble
255,My President BIDEN ❤
256,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=2803"">46:43</a> we have p*rn being talked about in a presidential debate before gta 6 😭"
257,NOOO JOE DON’T DO IT!!!
258,Trump for president
259,You can look in Biden”s eyes n that tells it all.  Crooked
260,Anyone who is for open boarders. Should remove all entry doors to their homes and remove all windows on their home now they can live their dream of open boarders as it really is everyone come on in you are welcome.
261,CNN to Trump: what will you do to help Americans dying of overdose?<br>Trump: Joe hasn&#39;t cut the tarrifs.
262,CNN to Trump: what will you do to help Americans dying of overdose?<br>Trump: Joe hasn&#39;t cut the tarrifs.
263,"The Wall Street Journal has a lot of courage to leave its comment section open to the public. We the people can be quite brutal, but I will commend most of your healthy debates. Hopefully, no one gets banned from this comment section. God bless this country because we all know we need His blessing more than ever with Kamala around the corner. I&#39;m definitely waiting for Trump to go in on Kamala for the second debate. LOL"
264,2 Club Championships. 🤣🤣🤣🤣🤣🤣
265,Biden: we finally beat Medicare. trump: yeah he did beat Medicare he beat it to death
266,BIDEN - HILLARY - HARRIS CAN NOT WIN BEFORE TRUMP - TRUMP MUST BE PRESIDENT OF USA -SURE
267,americans hasthe right to fight a tyrannical gouverment when ? we are watching this clownshow whats going on.
268,Abortion a matter of national security holy shiiiiet
269,kitchen table belach into my veins great politics
270,CNN CNN CNN what a joke of a network please wear clown costumes next time
271,"Trump won this debate. Hope he can do it again against Kamala on September 10, so Trump can be our president in 2024 👍🏿"
272,Why do you turn off comments on some of your videos better not mine Tonto national Forest
273,Every 4 years theses politicians talk about the same thing what they gone do sounds like to me they not doing nothing but yapping
274,This is like the &quot;Donald Trump vs Tonald Drump meme edits...but real. Jesus Christ.
275,You know why trump said he will end the Ukraine war fast easy he want to get rid of nato that’s why the war is going on now I say get rid of nato too because it’s useless
276,How will we help child care?<br>Biden: he&#39;s the worst president in history<br>Trump: no you<br>Biden: no you<br>Moderator: next question<br>Both: okay<br>😂
277,Cucuu and oldtiimmminer
278,Joe talking so slow you play it on 2x speed it sounds normal 😂😂💀
279,wait Biden did not fire any official that&#39;s not serious
280,Trump 2024❤
281,This makes me so sad.
282,what even is this?
283,🙌Trump for President 2024🙌
284,"What do you plan to do about Childcare?<br>Trump : He&#39;s a terrible president, <br>Biden: My deficit is lower<br>😂😂😂😂😂😂😂😂 Both of em are clowns and neither one answered the question. Just read the transcript before you call me a liar."
285,"Trump: I fired people I don&#39;t like. He, doesn&#39;t fire people because he likes them. <br><br>Sounds about Right."
286,Yeah CNN just really lied about that groceries only the.... That&#39;s why I don&#39;t watch CNN they lie!!!!
287,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4583"">1:16:23</a>"
288,funny in hindsight. trump wins a debate for the first time and it destroyed his easy victory.
289,Dana is looking hot 🔥
290,"States rights are never a great thing, especially down in the south 😥😥"
291,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=3929"">1:05:29</a><br><br>That is where it should be clear enough for everybody to see.<br><br>Bit lateron: &quot;We are the most admired country in the world&quot;<br><br>Joe, i really wanna ask where you get your stuff.<br>I need it.<br>Seems like Lucy in the Sky with Diamonds to me."
292,THE IDEA!!!<br>I&#39;ve got no idea anymore
293,I swear I&#39;m living in a simulation.... LOL
294,TRUMP:_ ON EACH TIME HE KEPT SAYING MIGRANTS ARE COMMING IN 😂😂😂<br>MIGRENTOPHOBIA
295,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=3816"">01:03:36</a> 😂😂😂😂"
296,"This might yet prove to be the biggest blunder of Trump’s career. This debate ended Biden’s career and totally shook up the race.<br><br>Trump genuinely appears to have thought that Biden would never end his campaign.<br><br>Couple this with an insanely early GOP convention, all before Biden ended his campaign, and Trump appears now to be fumbling and losing momentum."
297,Having fun scrolling through the comments 😊
298,I Love Around the World 🌎❤❤❤❤❤❤
299,❤❤❤❤❤. Good night friend
300,Is Biden even human?
301,Trump/Vance 2024 🇺🇸
302,Kamala Harris 2024
303,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=5247"">1:27:27</a><br>Do you even know why would be needed (soldiers)<br>Is because you&#39;re what some people call a (rollover) ms. biden (lower case)"
304,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=5247"">1:27:27</a><br>Do you even know why would be needed (soldiers)<br>Is because you&#39;re what some people call a (rollover) ms. biden (lower case)"
305,Trump I love you❤❤❤❤
